5.50	129676
6.00	127621
6.50	125523
7.00	123619
7.50	121965
8.00	120958
8.50	120251
9.00	119451
9.50	119495
10.00	119360
10.50	118476
11.00	118656
11.50	117686
12.00	118340
12.50	117970
13.00	118099
13.50	118202
14.00	117656
14.50	118209
15.00	121184
15.50	131714
16.00	136755
16.50	138604
17.00	139045
17.50	139344
18.00	138574
18.50	138932
19.00	138929
19.50	138846
20.00	138632
20.50	137670
21.00	138195
21.50	138153
22.00	137867
22.50	138217
23.00	137357
23.50	137423
24.00	137141
24.50	136606
25.00	136640
25.50	136552
26.00	137089
26.50	137473
27.00	136171
27.50	135798
28.00	135715
28.50	135205
29.00	135411
29.50	135384
30.00	134581
30.50	134885
31.00	134744
31.50	134550
32.00	134043
32.50	133695
33.00	133769
33.50	133610
34.00	132557
34.50	131624
35.00	131213
35.50	130828
36.00	131617
36.50	131113
37.00	129631
37.50	129449
38.00	128625
38.50	127569
39.00	127814
39.50	126424
40.00	125738
40.50	125275
41.00	125247
41.50	123893
42.00	123904
42.50	123403
43.00	122707
43.50	121661
44.00	120661
44.50	120817
45.00	119517
45.50	118949
46.00	118743
46.50	117954
47.00	117230
47.50	116246
48.00	115788
48.50	115611
49.00	114271
49.50	113731
50.00	112443
50.25	112184
50.50	111149
50.75	110338
51.00	110314
51.25	109895
51.50	109898
51.75	109319
52.00	109438
52.25	108155
52.50	108174
52.75	107670
53.00	107222
53.25	106704
53.50	105640
53.75	105966
54.00	105389
54.25	104978
54.50	104941
54.75	103890
55.00	104242
55.25	103145
55.50	102800
55.75	102274
56.00	102127
56.25	100942
56.50	100940
56.75	100206
57.00	99513
57.25	99694
57.50	99082
57.75	98735
58.00	98516
58.25	97486
58.50	97457
58.75	96788
59.00	96745
59.25	96309
59.50	94960
59.75	95189
60.00	94527
60.25	94716
60.50	93640
60.75	93722
61.00	93137
61.25	92208
61.50	91917
61.75	91296
62.00	90457
62.25	90252
62.50	89773
62.75	89496
63.00	88713
63.25	88157
63.50	87799
63.75	87550
64.00	86345
64.25	86745
64.50	85750
64.75	85615
65.00	85059
65.25	84506
65.50	83756
65.75	83664
66.00	82810
66.25	82205
66.50	82182
66.75	81135
67.00	80376
67.25	80428
67.50	79994
67.75	79725
68.00	79149
68.25	79341
68.50	79033
68.75	79113
69.00	77957
69.25	77852
69.50	77505
69.75	77613
70.00	76771
70.50	76420
71.00	76297
71.50	76011
72.00	75578
72.50	75448
73.00	75120
73.50	74779
74.00	74988
74.50	74699
75.00	74943
75.50	74137
76.00	73683
76.50	74186
77.00	74106
77.50	73815
78.00	73738
78.50	73848
79.00	73905
79.50	72330
80.00	74233
