# R1  dR1 FWHM_R1  dFWHM_R1 R2 dR2 FWHM_R2  dFWHM_R2 A1  dA1 A2  dA2  B  dB
6.941427539245215712e+02 1.010521868615766802e-02 1.009915050302218509e+00 1.092612203953051593e-02 6.927260120170426489e+02 1.595122763839466884e-02 8.982816373071125238e-01 1.678877609395511283e-02 1.521999368175741836e+02 4.737417052699743891e+00 2.523533930336444939e+02 4.505353427437348124e+00 1.513303710451692297e+01 3.558634270069519490e-01
6.944243987425979867e+02 4.023020660288738337e-02 9.721132678206099165e-01 4.059656965632849057e-02 6.930702837541559802e+02 6.299836652568376050e-02 1.035274654853189258e+00 6.507069245670245305e-02 4.648647749422847397e+01 4.196865092160106947e+00 7.068783154345622677e+01 4.297480784032575052e+00 1.497648479409997968e+01 3.367863194114638081e-01
6.941194765921868566e+02 1.308765014877402363e-02 9.967064659868000165e-01 1.415024316812658195e-02 6.927120878545902087e+02 2.114766305471058386e-02 8.902441116671655497e-01 2.229174455753115541e-02 1.067079615393975729e+02 4.471995058445060067e+00 1.807843928210724584e+02 4.259579440458268529e+00 1.386852500374018327e+01 3.342433487475144349e-01
6.943818302616622304e+02 5.168262619147914044e-02 1.008458495686518797e+00 5.109041545857759964e-02 6.930583060681266261e+02 7.877641698076719157e-02 1.018579106673455081e+00 7.828070823540828060e-02 4.006880838835319736e+01 4.220034538600747176e+00 6.075699069333216329e+01 4.229286593606127909e+00 1.475352852161064909e+01 3.364633473659711660e-01
6.940849068225663814e+02 1.012382457345840057e-02 9.575640777291533068e-01 1.091621524380033230e-02 6.926778639957536825e+02 1.654854191231884888e-02 8.855608049157764894e-01 1.757158363996568981e-02 1.367888892021349534e+02 4.652178139731866224e+00 2.309563465809241052e+02 4.491810727838491779e+00 1.421725550519474623e+01 3.459918749410282324e-01
6.943244074896348366e+02 3.514450618522302339e-02 9.668801945272116338e-01 3.627019897974781415e-02 6.929990061662259677e+02 5.724902490973590719e-02 9.667430663193106177e-01 5.916690708674454680e-02 4.778850273157311790e+01 4.323408056582752401e+00 7.775386405027735748e+01 4.313810413610085881e+00 1.474584784894980771e+01 3.359867878952649267e-01
6.940415104423781258e+02 1.104733423833962301e-02 9.434693607597478548e-01 1.189879375962025511e-02 6.926327755846825767e+02 1.862579352148873921e-02 8.773325086892351798e-01 1.979918834743619668e-02 1.158316542953619859e+02 4.543687232512349183e+00 2.012599767881580988e+02 4.395373672148457089e+00 1.380356325823395913e+01 3.361823746455764872e-01
6.942815974250748923e+02 3.713642098863251251e-02 9.447591868740419230e-01 3.841609402765568809e-02 6.929411998794050760e+02 6.133152631266394761e-02 9.841327456141660823e-01 6.435348229106137297e-02 4.415851287407200942e+01 4.348690875181850934e+00 7.157075028026031305e+01 4.408831468317594648e+00 1.491144571571012278e+01 3.400026226381506200e-01
6.942189405149105141e+02 2.678994570426405930e-02 8.729092154207583887e-01 2.862122826177828511e-02 6.928626702386804936e+02 4.517612230494558873e-02 8.881970731916222217e-01 4.845650781278572350e-02 4.871113209023961588e+01 4.584200717232075561e+00 8.141965619831726997e+01 4.605814751860744849e+00 1.485935252095462111e+01 3.398904110450716720e-01
6.939495964632975529e+02 1.511943849960030103e-02 1.180936250067121662e+00 1.518900244252342421e-02 6.925001731753170588e+02 2.660021978065409132e-02 1.056903780540002558e+00 2.566480496198184774e-02 1.237082402987002183e+02 4.194947020446599062e+00 2.298796153404244649e+02 3.962419967423412182e+00 1.469292740912281836e+01 3.402456206860242083e-01
