#39_run03_5aqq.txt
#Wed, Mar 15, 2023, 4:41 PM
#WL (nm), Int (cts)
674.996352,14.177879
675.091533,14.068788
675.186688,14.050606
675.281816,14.196061
675.376916,13.959697
675.471990,13.977879
675.567037,14.286970
675.662057,14.541515
675.757051,14.505152
675.852017,14.414242
675.946956,14.305152
676.041869,14.305152
676.136754,14.468788
676.231613,14.377879
676.326444,14.341515
676.421249,14.414242
676.516027,14.359697
676.610778,14.177879
676.705502,13.905152
676.800199,13.705152
676.894869,13.723333
676.989513,13.905152
677.084129,13.868788
677.178718,14.014242
677.273281,14.123333
677.367816,14.086970
677.462325,14.105152
677.556807,14.050606
677.651261,13.977879
677.745689,14.177879
677.840090,14.268788
677.934464,14.450606
678.028811,14.577879
678.123131,14.668788
678.217424,14.523333
678.311690,14.377879
678.405930,14.505152
678.500142,14.541515
678.594327,14.741515
678.688486,15.086970
678.782617,14.905152
678.876722,14.850606
678.970799,14.832424
679.064850,14.686970
679.158873,14.905152
679.252870,15.105152
679.346840,15.177879
679.440783,15.177879
679.534698,15.450606
679.628587,15.359697
679.722449,15.323333
679.816284,15.341515
679.910092,15.523333
680.003873,15.559697
680.097627,15.777879
680.191354,15.759697
680.285054,15.450606
680.378727,15.650606
680.472373,15.596061
680.565993,15.414242
680.659585,15.723333
680.753150,15.523333
680.846688,15.668788
680.940199,15.632424
681.033684,15.596061
681.127141,15.450606
681.220571,15.305152
681.313975,15.250606
681.407351,15.105152
681.500700,15.068788
681.594023,15.214242
681.687318,15.105152
681.780587,14.868788
681.873828,14.723333
681.967042,14.541515
682.060230,14.396061
682.153390,14.232424
682.246524,14.159697
682.339630,14.105152
682.432710,13.941515
682.525762,14.014242
682.618788,13.723333
682.711786,13.450606
682.804757,13.832424
682.897702,13.614242
682.990619,13.650606
683.083510,13.559697
683.176373,13.559697
683.269210,13.650606
683.362019,13.686970
683.454801,13.850606
683.547557,13.596061
683.640285,13.723333
683.732986,13.905152
683.825661,13.832424
683.918308,14.123333
684.010928,14.159697
684.103522,14.086970
684.196088,14.177879
684.288627,13.977879
684.381139,14.014242
684.473624,14.050606
684.566082,14.177879
684.658514,14.196061
684.750918,14.214242
684.843295,14.323333
684.935645,14.505152
685.027968,14.505152
685.120264,14.759697
685.212533,14.832424
685.304774,15.086970
685.396989,15.086970
685.489177,15.105152
685.581338,15.141515
685.673471,15.068788
685.765578,14.959697
685.857658,14.832424
685.949710,14.759697
686.041736,14.886970
686.133734,15.341515
686.225706,15.577879
686.317650,15.868788
686.409567,16.341515
686.501458,17.068788
686.593321,17.723333
686.685157,18.377879
686.776966,19.232424
686.868748,20.032424
686.960503,20.723333
687.052231,21.377879
687.143932,21.723333
687.235606,22.541515
687.327252,22.941515
687.418872,23.286970
687.510465,23.196061
687.602030,23.214242
687.693569,23.105152
687.785080,22.814242
687.876564,22.596061
687.968021,22.268788
688.059452,21.741515
688.150855,21.450606
688.242231,20.814242
688.333580,20.159697
688.424901,19.450606
688.516196,18.886970
688.607464,18.359697
688.698704,17.977879
688.789918,17.523333
688.881104,17.050606
688.972264,16.505152
689.063396,16.286970
689.154501,15.959697
689.245579,15.432424
689.336630,15.432424
689.427654,15.305152
689.518651,15.141515
689.609620,14.959697
689.700563,14.886970
689.791478,14.832424
689.882367,14.705152
689.973228,14.923333
690.064062,15.196061
690.154869,15.286970
690.245649,15.596061
690.336402,15.814242
690.427128,16.359697
690.517826,16.741515
690.608498,16.996061
690.699142,17.032424
690.789759,17.123333
690.880350,17.650606
690.970913,17.905152
691.061449,18.686970
691.151957,20.559697
691.242439,24.905152
691.332894,33.505152
691.423321,46.650606
691.513721,62.032424
691.604095,75.814242
691.694441,86.141515
691.784760,91.977879
691.875051,94.796061
691.965316,96.432424
692.055554,96.941515
692.145764,96.305152
692.235947,93.141515
692.326104,85.723333
692.416233,74.250606
692.506334,61.868788
692.596409,54.850606
692.686457,58.868788
692.776477,76.323333
692.866471,103.559697
692.956437,134.268788
693.046376,162.450606
693.136288,183.377879
693.226172,197.050606
693.316030,204.686970
693.405860,208.032424
693.495664,208.141515
693.585440,203.486970
693.675189,190.705152
693.764911,168.377879
693.854605,138.777879
693.944273,106.650606
694.033913,77.796061
694.123526,55.759697
694.213112,41.196061
694.302671,32.523333
694.392203,27.596061
694.481707,24.486970
694.571185,22.250606
694.660635,20.777879
694.750058,19.832424
694.839454,19.250606
694.928822,18.650606
695.018164,17.977879
695.107478,17.468788
695.196765,16.923333
695.286025,16.341515
695.375258,15.559697
695.464464,15.305152
695.553642,15.305152
695.642793,15.050606
695.731918,14.941515
695.821014,14.505152
695.910084,14.177879
695.999127,14.050606
696.088142,13.905152
696.177130,13.705152
696.266091,13.832424
696.355025,14.159697
696.443931,14.323333
696.532811,14.432424
696.621663,14.396061
696.710488,14.232424
696.799286,14.105152
696.888056,14.196061
696.976799,14.068788
697.065516,14.414242
697.154205,14.996061
697.242866,14.886970
697.331501,14.850606
697.420108,14.723333
697.508688,14.523333
697.597241,14.414242
697.685767,14.377879
697.774265,14.250606
697.862737,14.123333
697.951181,14.050606
698.039598,13.777879
698.127987,13.359697
698.216350,13.559697
698.304685,13.905152
698.392993,14.032424
698.481274,14.414242
698.569527,14.614242
698.657753,14.850606
698.745953,15.086970
698.834124,15.505152
698.922269,15.377879
699.010386,15.505152
699.098477,15.359697
699.186539,14.959697
699.274575,14.377879
699.362584,13.723333
699.450565,13.032424
699.538519,12.523333
699.626445,12.450606
699.714345,12.305152
699.802217,12.177879
699.890062,12.341515
699.977880,12.359697
700.065671,12.577879
700.153434,12.850606
700.241170,13.686970
700.328879,15.086970
700.416560,16.959697
700.504214,18.741515
700.591841,19.886970
700.679441,20.759697
700.767014,21.141515
700.854559,21.323333
700.942077,21.268788
701.029568,21.032424
701.117031,20.868788
701.204467,19.977879
701.291876,18.723333
701.379258,16.868788
701.466612,15.250606
701.553939,14.105152
701.641239,13.159697
701.728512,12.723333
701.815757,12.177879
701.902975,12.032424
701.990166,12.014242
702.077330,11.905152
702.164466,12.032424
702.251575,12.286970
702.338657,12.323333
702.425711,12.377879
702.512738,12.214242
702.599738,12.396061
702.686710,12.559697
702.773656,13.177879
702.860574,13.341515
702.947464,13.541515
703.034328,14.105152
703.121164,14.396061
703.207973,14.777879
703.294754,15.705152
703.381509,16.596061
703.468235,17.777879
703.554935,18.959697
