#86_EuGa4_Mar08_23.dat.txt
#Wed, Mar 8, 2023, 8:21 PM
#WL (nm), Int (cts)
674.996352,109.935606
675.091533,110.135606
675.186688,110.371970
675.281816,110.517424
675.376916,110.281061
675.471990,110.881061
675.567037,110.899242
675.662057,110.917424
675.757051,110.408333
675.852017,109.990152
675.946956,110.190152
676.041869,110.390152
676.136754,110.262879
676.231613,109.790152
676.326444,109.844697
676.421249,109.881061
676.516027,109.644697
676.610778,109.499242
676.705502,109.226515
676.800199,109.262879
676.894869,109.735606
676.989513,109.899242
677.084129,109.644697
677.178718,109.753788
677.273281,109.190152
677.367816,109.390152
677.462325,109.281061
677.556807,109.062879
677.651261,109.717424
677.745689,109.917424
677.840090,110.444697
677.934464,110.081061
678.028811,109.371970
678.123131,109.699242
678.217424,109.790152
678.311690,109.899242
678.405930,109.826515
678.500142,109.953788
678.594327,110.081061
678.688486,110.208333
678.782617,110.535606
678.876722,109.935606
678.970799,110.299242
679.064850,110.790152
679.158873,111.226515
679.252870,111.626515
679.346840,111.899242
679.440783,112.044697
679.534698,113.608333
679.628587,113.717424
679.722449,113.644697
679.816284,113.953788
679.910092,114.153788
680.003873,113.899242
680.097627,114.371970
680.191354,114.153788
680.285054,113.917424
680.378727,115.081061
680.472373,114.790152
680.565993,113.608333
680.659585,114.481061
680.753150,113.935606
680.846688,113.026515
680.940199,113.008333
681.033684,112.935606
681.127141,112.608333
681.220571,112.517424
681.313975,112.353788
681.407351,111.426515
681.500700,111.481061
681.594023,115.062879
681.687318,114.262879
681.780587,113.971970
681.873828,113.971970
681.967042,114.135606
682.060230,114.226515
682.153390,113.935606
682.246524,113.335606
682.339630,112.862879
682.432710,112.444697
682.525762,112.462879
682.618788,108.444697
682.711786,108.135606
682.804757,108.244697
682.897702,108.117424
682.990619,107.608333
683.083510,106.862879
683.176373,107.044697
683.269210,107.426515
683.362019,107.681061
683.454801,107.626515
683.547557,107.281061
683.640285,107.171970
683.732986,107.499242
683.825661,107.790152
683.918308,108.062879
684.010928,108.444697
684.103522,108.971970
684.196088,109.135606
684.288627,108.862879
684.381139,109.517424
684.473624,110.081061
684.566082,110.462879
684.658514,110.517424
684.750918,110.590152
684.843295,110.862879
684.935645,111.317424
685.027968,111.590152
685.120264,111.335606
685.212533,111.481061
685.304774,112.008333
685.396989,111.990152
685.489177,112.571970
685.581338,113.117424
685.673471,113.571970
685.765578,113.953788
685.857658,114.426515
685.949710,114.971970
686.041736,115.390152
686.133734,117.390152
686.225706,119.008333
686.317650,120.917424
686.409567,123.626515
686.501458,126.281061
686.593321,129.717424
686.685157,133.335606
686.776966,137.517424
686.868748,141.299242
686.960503,145.299242
687.052231,149.662879
687.143932,152.844697
687.235606,155.717424
687.327252,158.390152
687.418872,159.571970
687.510465,160.244697
687.602030,159.881061
687.693569,159.226515
687.785080,157.571970
687.876564,155.335606
687.968021,152.353788
688.059452,148.917424
688.150855,145.590152
688.242231,142.899242
688.333580,139.190152
688.424901,135.644697
688.516196,132.208333
688.607464,128.626515
688.698704,125.899242
688.789918,122.553788
688.881104,120.190152
688.972264,117.953788
689.063396,115.771970
689.154501,113.935606
689.245579,111.008333
689.336630,109.481061
689.427654,108.317424
689.518651,107.244697
689.609620,106.553788
689.700563,105.408333
689.791478,104.426515
689.882367,103.681061
689.973228,104.481061
690.064062,105.117424
690.154869,105.481061
690.245649,106.353788
690.336402,107.081061
690.427128,108.371970
690.517826,108.699242
690.608498,108.371970
690.699142,107.517424
