#75_EuGa4_Mar08_23.dat.txt
#Wed, Mar 8, 2023, 7:06 PM
#WL (nm), Int (cts)
674.996352,100.589286
675.091533,100.732143
675.186688,101.732143
675.281816,103.017857
675.376916,104.017857
675.471990,106.303571
675.567037,106.303571
675.662057,106.875000
675.757051,107.303571
675.852017,107.446429
675.946956,106.589286
676.041869,105.589286
676.136754,105.017857
676.231613,104.446429
676.326444,104.160714
676.421249,102.589286
676.516027,102.732143
676.610778,103.017857
676.705502,103.589286
676.800199,101.017857
676.894869,101.732143
676.989513,101.017857
677.084129,102.732143
677.178718,101.589286
677.273281,101.017857
677.367816,100.875000
677.462325,101.017857
677.556807,100.017857
677.651261,100.875000
677.745689,100.589286
677.840090,101.303571
677.934464,101.303571
678.028811,102.160714
678.123131,103.017857
678.217424,103.589286
678.311690,104.589286
678.405930,104.446429
678.500142,104.875000
678.594327,105.875000
678.688486,105.732143
678.782617,106.589286
678.876722,107.160714
678.970799,107.589286
679.064850,106.446429
679.158873,107.303571
679.252870,106.160714
679.346840,106.589286
679.440783,107.446429
679.534698,107.446429
679.628587,106.875000
679.722449,109.732143
679.816284,108.875000
679.910092,110.017857
680.003873,109.446429
680.097627,108.303571
680.191354,107.875000
680.285054,109.160714
680.378727,108.303571
680.472373,109.446429
680.565993,110.446429
680.659585,111.303571
680.753150,112.446429
680.846688,113.875000
680.940199,113.303571
681.033684,112.875000
681.127141,112.017857
681.220571,110.589286
681.313975,110.589286
681.407351,109.875000
681.500700,109.875000
681.594023,108.875000
681.687318,108.732143
681.780587,116.732143
681.873828,117.160714
681.967042,115.875000
682.060230,115.732143
682.153390,114.732143
682.246524,114.446429
682.339630,113.732143
682.432710,103.732143
682.525762,103.160714
682.618788,103.589286
682.711786,101.732143
682.804757,101.446429
682.897702,101.303571
682.990619,101.875000
683.083510,102.875000
683.176373,103.446429
683.269210,102.160714
683.362019,103.303571
683.454801,102.446429
683.547557,101.732143
683.640285,101.017857
683.732986,101.732143
683.825661,100.732143
683.918308,101.160714
684.010928,102.017857
684.103522,102.589286
684.196088,103.589286
684.288627,104.589286
684.381139,103.875000
684.473624,104.017857
684.566082,105.732143
684.658514,105.732143
684.750918,106.160714
684.843295,105.875000
684.935645,104.875000
685.027968,106.160714
685.120264,106.446429
685.212533,105.160714
685.304774,104.446429
685.396989,105.589286
685.489177,106.303571
685.581338,107.589286
685.673471,107.732143
685.765578,109.303571
685.857658,110.732143
685.949710,111.446429
686.041736,111.303571
686.133734,112.875000
686.225706,113.017857
686.317650,114.303571
686.409567,116.589286
686.501458,120.303571
686.593321,125.875000
686.685157,129.732143
686.776966,135.017857
686.868748,139.875000
686.960503,144.875000
687.052231,148.160714
687.143932,151.732143
687.235606,152.732143
687.327252,155.017857
687.418872,155.875000
687.510465,158.589286
687.602030,159.875000
687.693569,159.303571
687.785080,157.589286
687.876564,156.303571
687.968021,154.589286
688.059452,149.875000
688.150855,145.303571
688.242231,139.160714
688.333580,137.446429
688.424901,135.303571
688.516196,131.589286
688.607464,127.160714
688.698704,123.732143
688.789918,120.589286
688.881104,118.303571
688.972264,113.732143
689.063396,110.160714
689.154501,108.732143
689.245579,107.732143
689.336630,107.875000
689.427654,105.732143
689.518651,106.017857
689.609620,105.446429
689.700563,103.589286
689.791478,103.589286
689.882367,103.160714
689.973228,101.732143
690.064062,102.160714
690.154869,102.160714
690.245649,103.446429
690.336402,105.160714
690.427128,104.732143
690.517826,105.875000
690.608498,107.732143
690.699142,109.017857
690.789759,108.589286
690.880350,105.589286
690.970913,102.160714
691.061449,101.732143
691.151957,99.017857
691.242439,96.303571
691.332894,93.875000
691.423321,92.017857
691.513721,93.017857
691.604095,94.160714
691.694441,92.589286
691.784760,93.303571
691.875051,94.160714
691.965316,95.160714
692.055554,95.732143
692.145764,94.875000
692.235947,95.875000
692.326104,96.732143
692.416233,98.446429
692.506334,100.875000
692.596409,102.017857
692.686457,105.160714
692.776477,110.446429
692.866471,113.875000
692.956437,119.017857
