#82_EuGa4_Mar08_23.dat.txt
#Wed, Mar 8, 2023, 8:01 PM
#WL (nm), Int (cts)
674.996352,71.883485
675.091533,71.756212
675.186688,72.119848
675.281816,72.265303
675.376916,72.156212
675.471990,72.447121
675.567037,72.501667
675.662057,72.538030
675.757051,72.319848
675.852017,71.956212
675.946956,72.283485
676.041869,72.228939
676.136754,72.428939
676.231613,72.192576
676.326444,72.210758
676.421249,72.574394
676.516027,72.265303
676.610778,72.719848
676.705502,72.919848
676.800199,72.592576
676.894869,73.010758
676.989513,72.992576
677.084129,72.810758
677.178718,72.610758
677.273281,72.592576
677.367816,72.701667
677.462325,72.647121
677.556807,72.647121
677.651261,72.665303
677.745689,72.501667
677.840090,73.428939
677.934464,73.319848
678.028811,73.028939
678.123131,73.428939
678.217424,73.628939
678.311690,73.501667
678.405930,73.719848
678.500142,73.756212
678.594327,74.265303
678.688486,74.592576
678.782617,74.501667
678.876722,73.665303
678.970799,73.719848
679.064850,73.974394
679.158873,74.065303
679.252870,74.356212
679.346840,74.428939
679.440783,74.028939
679.534698,75.356212
679.628587,75.392576
679.722449,75.828939
679.816284,76.156212
679.910092,76.956212
680.003873,77.247121
680.097627,78.410758
680.191354,78.574394
680.285054,78.883485
680.378727,79.901667
680.472373,80.174394
680.565993,79.156212
680.659585,79.556212
680.753150,79.410758
680.846688,79.374394
680.940199,79.301667
681.033684,79.101667
681.127141,78.083485
681.220571,77.647121
681.313975,76.883485
681.407351,76.010758
681.500700,75.974394
681.594023,80.010758
681.687318,79.628939
681.780587,78.774394
681.873828,78.719848
681.967042,78.065303
682.060230,78.156212
682.153390,77.974394
682.246524,77.665303
682.339630,77.592576
682.432710,77.410758
682.525762,76.938030
682.618788,72.410758
682.711786,72.447121
682.804757,72.574394
682.897702,71.847121
682.990619,72.047121
683.083510,71.610758
683.176373,71.647121
683.269210,71.628939
683.362019,71.719848
683.454801,71.810758
683.547557,71.719848
683.640285,71.338030
683.732986,71.265303
683.825661,71.101667
