#81_EuGa4_Mar08_23.dat.txt
#Wed, Mar 8, 2023, 7:57 PM
#WL (nm), Int (cts)
674.996352,104.691667
675.091533,104.928030
675.186688,105.237121
675.281816,105.328030
675.376916,105.000758
675.471990,105.055303
675.567037,105.182576
675.662057,105.328030
675.757051,104.946212
675.852017,105.328030
675.946956,106.000758
676.041869,106.073485
676.136754,105.764394
676.231613,105.237121
676.326444,104.964394
676.421249,105.018939
676.516027,104.964394
676.610778,104.982576
676.705502,104.855303
676.800199,104.564394
676.894869,104.728030
676.989513,104.037121
677.084129,103.837121
677.178718,103.873485
677.273281,103.946212
677.367816,103.946212
677.462325,104.218939
677.556807,104.037121
677.651261,104.200758
677.745689,104.182576
677.840090,104.655303
677.934464,104.055303
678.028811,103.764394
678.123131,104.237121
678.217424,104.109848
678.311690,104.364394
678.405930,104.673485
678.500142,104.673485
678.594327,104.982576
678.688486,105.328030
678.782617,105.837121
678.876722,105.491667
678.970799,106.055303
679.064850,106.418939
679.158873,106.600758
679.252870,107.073485
679.346840,107.073485
679.440783,107.182576
679.534698,108.000758
679.628587,107.946212
679.722449,108.000758
679.816284,107.673485
679.910092,107.873485
680.003873,107.946212
680.097627,108.709848
680.191354,108.528030
680.285054,108.473485
680.378727,108.782576
680.472373,108.764394
680.565993,108.055303
680.659585,108.837121
680.753150,108.728030
680.846688,108.818939
680.940199,108.982576
681.033684,108.564394
681.127141,108.200758
681.220571,107.946212
681.313975,107.691667
681.407351,107.782576
681.500700,107.455303
681.594023,112.073485
681.687318,111.364394
681.780587,111.000758
681.873828,110.800758
681.967042,110.418939
682.060230,110.128030
682.153390,109.855303
682.246524,109.291667
682.339630,108.800758
682.432710,108.182576
682.525762,107.964394
682.618788,102.709848
682.711786,102.455303
682.804757,101.946212
682.897702,101.837121
682.990619,101.564394
683.083510,101.418939
683.176373,101.055303
683.269210,101.473485
683.362019,101.709848
683.454801,101.418939
683.547557,101.418939
683.640285,101.382576
683.732986,101.782576
683.825661,102.146212
683.918308,102.255303
684.010928,102.528030
684.103522,103.164394
684.196088,103.473485
684.288627,103.473485
684.381139,104.000758
684.473624,104.946212
684.566082,104.946212
684.658514,105.328030
684.750918,105.182576
684.843295,105.655303
684.935645,105.473485
685.027968,105.746212
685.120264,105.400758
685.212533,106.109848
685.304774,106.364394
685.396989,106.255303
685.489177,106.546212
685.581338,107.637121
685.673471,108.091667
685.765578,108.528030
685.857658,109.091667
685.949710,110.564394
686.041736,111.800758
686.133734,113.546212
686.225706,114.764394
686.317650,116.946212
686.409567,120.091667
686.501458,122.855303
686.593321,125.837121
686.685157,129.328030
686.776966,133.364394
686.868748,137.346212
