#P I Flux Inorm
0 16066 0 0
1 17010 0 0
2 18273 0 0
3 19315 0 0
4 20752 0 0
5 21946 0 0
6 22941 0 0
7 23674 0 0
8 23033 0 0
9 21832 0 0
10 20309 0 0
11 19781 0 0
12 19512 0 0
13 19253 0 0
14 19617 0 0
15 20269 0 0
16 20739 0 0
17 21536 0 0
18 22325 0 0
19 24144 0 0
20 25498 0 0
21 26435 0 0
22 27149 0 0
23 29267 0 0
24 30428 0 0
25 32710 0 0
26 33565 0 0
27 38238 0 0
28 40150 0 0
29 48700 0 0
30 53545 0 0
31 69360 0 0
32 78935 0 0
33 89500 0 0
34 93339 0 0
35 98830 0 0
36 108617 0 0
37 98872 0 0
38 97939 0 0
39 93016 0 0
40 102560 0 0
41 99008 0 0
42 113806 0 0
43 109408 0 0
44 113856 0 0
45 108964 0 0
46 105879 0 0
47 106177 0 0
48 125162 0 0
49 149571 0 0
50 155243 0 0
51 159203 0 0
52 174572 0 0
53 203865 0 0
54 231916 0 0
55 277512 0 0
56 318158 0 0
57 391696 0 0
58 414164 0 0
59 471120 0 0
60 555230 0 0
61 641346 0 0
62 738365 0 0
63 791874 0 0
64 835176 0 0
65 950689 0 0
66 968605 0 0
67 984386 0 0
68 1.01616e+06 0 0
69 1.06377e+06 0 0
70 1.06642e+06 0 0
71 1.2376e+06 0 0
72 1.26657e+06 0 0
73 1.35579e+06 0 0
74 1.43006e+06 0 0
75 1.52251e+06 0 0
76 1.50079e+06 0 0
77 1.22679e+06 0 0
78 1.1553e+06 0 0
79 1.01178e+06 0 0
80 1.12443e+06 0 0
81 921398 0 0
82 724395 0 0
83 718246 0 0
84 755817 0 0
85 750671 0 0
86 673552 0 0
87 530074 0 0
88 428027 0 0
89 364282 0 0
90 310973 0 0
91 227476 0 0
92 178640 0 0
93 147916 0 0
94 131354 0 0
95 121171 0 0
96 111271 0 0
97 103786 0 0
98 97421 0 0
99 93202 0 0
100 87043 0 0
101 83733 0 0
102 76756 0 0
103 74439 0 0
104 68982 0 0
105 67100 0 0
106 64398 0 0
107 64139 0 0
108 59097 0 0
109 58114 0 0
110 54797 0 0
111 53560 0 0
112 51709 0 0
113 48150 0 0
114 47349 0 0
115 43394 0 0
116 43063 0 0
117 38614 0 0
118 38852 0 0
119 35409 0 0
120 35781 0 0
121 32916 0 0
122 33411 0 0
123 30866 0 0
124 30914 0 0
125 29228 0 0
126 28588 0 0
127 28257 0 0
128 26608 0 0
129 26823 0 0
130 25545 0 0
131 26136 0 0
132 24150 0 0
133 25020 0 0
134 23498 0 0
135 24458 0 0
136 23466 0 0
137 24034 0 0
138 23703 0 0
139 24419 0 0
140 24396 0 0
141 24650 0 0
142 24793 0 0
143 24009 0 0
144 23330 0 0
145 21002 0 0
146 20056 0 0
147 18003 0 0
148 17770 0 0
149 16422 0 0
150 16449 0 0
151 15346 0 0
152 15220 0 0
153 14656 0 0
154 14222 0 0
155 14143 0 0
156 13452 0 0
157 13547 0 0
158 12627 0 0
159 12950 0 0
160 12102 0 0
161 12377 0 0
162 11865 0 0
163 12181 0 0
164 11702 0 0
165 11636 0 0
166 11214 0 0
167 10974 0 0
168 10476 0 0
169 10433 0 0
170 10540 0 0
