#P I Flux Inorm
347 2047 0 0
348 2026 0 0
349 2098 0 0
350 2040 0 0
351 2034 0 0
352 2046 0 0
353 1949 0 0
354 2001 0 0
355 1979 0 0
356 2067 0 0
357 1973 0 0
358 1968 0 0
359 1900 0 0
360 1918 0 0
361 1906 0 0
362 1883 0 0
363 1917 0 0
364 1936 0 0
365 1869 0 0
366 1980 0 0
367 1900 0 0
368 1953 0 0
369 1890 0 0
370 1920 0 0
371 1904 0 0
372 1973 0 0
373 1899 0 0
374 1888 0 0
375 1901 0 0
376 1868 0 0
377 1954 0 0
378 1889 0 0
379 1929 0 0
380 1891 0 0
381 1845 0 0
382 1847 0 0
383 1883 0 0
384 1894 0 0
385 1907 0 0
386 1839 0 0
387 1937 0 0
388 1823 0 0
389 1871 0 0
390 1888 0 0
391 1860 0 0
392 1828 0 0
393 1825 0 0
394 1769 0 0
395 1885 0 0
396 1776 0 0
397 1779 0 0
398 1830 0 0
399 1722 0 0
400 1797 0 0
401 1790 0 0
402 1760 0 0
403 1705 0 0
404 1710 0 0
405 1692 0 0
406 1701 0 0
407 1760 0 0
408 1760 0 0
409 1719 0 0
410 1732 0 0
411 1672 0 0
412 1761 0 0
413 1636 0 0
414 1731 0 0
415 1753 0 0
416 1657 0 0
417 1693 0 0
418 1691 0 0
419 1624 0 0
420 1719 0 0
421 1717 0 0
422 1730 0 0
423 1690 0 0
424 1628 0 0
425 1600 0 0
426 1631 0 0
427 1657 0 0
428 1646 0 0
429 1595 0 0
430 1609 0 0
431 1625 0 0
432 1517 0 0
433 1654 0 0
434 1543 0 0
435 1580 0 0
436 1567 0 0
437 1588 0 0
438 1576 0 0
439 1625 0 0
440 1536 0 0
441 1568 0 0
442 1664 0 0
443 1540 0 0
444 1586 0 0
445 1651 0 0
446 1545 0 0
447 1638 0 0
448 1593 0 0
449 1559 0 0
450 1646 0 0
451 1637 0 0
452 1601 0 0
453 1439 0 0
454 1588 0 0
455 1607 0 0
456 1540 0 0
457 1611 0 0
458 1497 0 0
459 1537 0 0
460 1561 0 0
461 1572 0 0
462 1578 0 0
463 1542 0 0
464 1615 0 0
465 1500 0 0
466 1517 0 0
467 1547 0 0
468 1513 0 0
469 1562 0 0
470 1505 0 0
471 1492 0 0
472 1557 0 0
473 1581 0 0
474 1512 0 0
475 1487 0 0
476 1523 0 0
477 1594 0 0
478 1483 0 0
479 1484 0 0
480 1541 0 0
481 1568 0 0
482 1484 0 0
483 1505 0 0
484 1451 0 0
485 1535 0 0
486 1471 0 0
487 1530 0 0
488 1545 0 0
489 1448 0 0
490 1473 0 0
491 1461 0 0
492 1550 0 0
493 1482 0 0
494 1507 0 0
495 1476 0 0
496 1529 0 0
497 1481 0 0
498 1501 0 0
499 1405 0 0
500 1474 0 0
501 1408 0 0
502 1491 0 0
503 1499 0 0
504 1493 0 0
505 1532 0 0
506 1490 0 0
507 1463 0 0
508 1492 0 0
509 1457 0 0
510 1508 0 0
511 1455 0 0
512 1501 0 0
513 1481 0 0
514 1489 0 0
515 1476 0 0
516 1438 0 0
517 1465 0 0
518 1437 0 0
519 1436 0 0
520 1485 0 0
521 1449 0 0
522 1494 0 0
523 1491 0 0
524 1387 0 0
525 1442 0 0
526 1417 0 0
527 1494 0 0
528 1447 0 0
529 1404 0 0
530 1431 0 0
531 1425 0 0
532 1431 0 0
533 1485 0 0
534 1338 0 0
535 1449 0 0
536 1489 0 0
537 1421 0 0
538 1366 0 0
539 1422 0 0
540 1411 0 0
541 1374 0 0
542 1473 0 0
543 1449 0 0
544 1404 0 0
545 1398 0 0
546 1425 0 0
547 1412 0 0
548 1388 0 0
549 1407 0 0
550 1393 0 0
551 1479 0 0
552 1302 0 0
553 1399 0 0
554 1355 0 0
555 1367 0 0
556 1394 0 0
557 1424 0 0
558 1338 0 0
559 1379 0 0
560 1369 0 0
561 1359 0 0
562 1380 0 0
