#P I Flux Inorm
0 13015 0 0
1 13030 0 0
2 13267 0 0
3 13668 0 0
4 14101 0 0
5 14261 0 0
6 15083 0 0
7 15351 0 0
8 15720 0 0
9 15881 0 0
10 16263 0 0
11 16564 0 0
12 17060 0 0
13 17617 0 0
14 17994 0 0
15 18345 0 0
16 18487 0 0
17 19395 0 0
18 19875 0 0
19 20664 0 0
20 21352 0 0
21 22684 0 0
22 23360 0 0
23 25649 0 0
24 26310 0 0
25 26759 0 0
26 27783 0 0
27 29423 0 0
28 30148 0 0
29 30987 0 0
30 32779 0 0
31 34551 0 0
32 36713 0 0
33 40439 0 0
34 44724 0 0
35 52864 0 0
36 58764 0 0
37 66769 0 0
38 72831 0 0
39 81757 0 0
40 88383 0 0
41 98674 0 0
42 96049 0 0
43 101482 0 0
44 105433 0 0
45 112086 0 0
46 113510 0 0
47 112057 0 0
48 115364 0 0
49 124344 0 0
50 131096 0 0
51 142865 0 0
52 150582 0 0
53 166701 0 0
54 177456 0 0
55 198026 0 0
56 232654 0 0
57 270870 0 0
58 298154 0 0
59 339349 0 0
60 392045 0 0
61 432112 0 0
62 480150 0 0
63 583017 0 0
64 703344 0 0
65 778629 0 0
66 845841 0 0
67 970744 0 0
68 1.1296e+06 0 0
69 1.19289e+06 0 0
70 1.24545e+06 0 0
71 1.4389e+06 0 0
72 1.46601e+06 0 0
73 1.64184e+06 0 0
74 1.61387e+06 0 0
75 1.58909e+06 0 0
76 1.55063e+06 0 0
77 1.29597e+06 0 0
78 1.18131e+06 0 0
79 1.13025e+06 0 0
80 1.06144e+06 0 0
81 912400 0 0
82 922263 0 0
83 918466 0 0
84 772811 0 0
85 514281 0 0
86 461150 0 0
87 427804 0 0
88 356496 0 0
89 265620 0 0
90 213221 0 0
91 173010 0 0
92 153824 0 0
93 137458 0 0
94 129994 0 0
95 117307 0 0
96 109586 0 0
97 101690 0 0
98 96637 0 0
99 91075 0 0
100 86032 0 0
101 81562 0 0
102 76693 0 0
103 74551 0 0
104 71356 0 0
105 69732 0 0
106 66365 0 0
107 67043 0 0
108 63682 0 0
109 65326 0 0
110 60823 0 0
111 60203 0 0
112 54772 0 0
113 52633 0 0
114 47704 0 0
115 46676 0 0
116 43729 0 0
117 43195 0 0
118 40493 0 0
119 39089 0 0
120 37468 0 0
121 36722 0 0
122 35488 0 0
123 34121 0 0
124 32487 0 0
125 31389 0 0
126 30784 0 0
127 29621 0 0
128 29212 0 0
129 28280 0 0
130 27794 0 0
131 26564 0 0
132 26474 0 0
133 24825 0 0
134 24674 0 0
135 23439 0 0
136 23458 0 0
137 22161 0 0
138 22062 0 0
139 21271 0 0
140 21152 0 0
141 20031 0 0
142 19739 0 0
143 18869 0 0
144 18926 0 0
145 18201 0 0
146 17808 0 0
147 17494 0 0
148 17188 0 0
149 16980 0 0
150 16390 0 0
151 16473 0 0
152 15997 0 0
153 15876 0 0
154 15125 0 0
155 15158 0 0
156 14562 0 0
157 14972 0 0
158 14196 0 0
159 14395 0 0
160 14062 0 0
161 14277 0 0
162 13802 0 0
163 13977 0 0
164 13489 0 0
165 13462 0 0
166 13134 0 0
167 12967 0 0
168 12764 0 0
169 12783 0 0
170 12419 0 0
171 12217 0 0
172 12217 0 0
173 11859 0 0
174 11714 0 0
175 11332 0 0
176 11547 0 0
177 10891 0 0
178 11025 0 0
179 10469 0 0
180 10875 0 0
181 10328 0 0
182 10572 0 0
183 10086 0 0
184 10383 0 0
185 9873 0 0
186 9714 0 0
187 9697 0 0
188 9828 0 0
189 9583 0 0
190 9611 0 0
191 9336 0 0
192 9331 0 0
193 9201 0 0
194 9081 0 0
195 9167 0 0
196 8852 0 0
197 8927 0 0
198 8818 0 0
199 8691 0 0
200 8555 0 0
