#P I Flux Inorm
0 13542 0 0
1 13641 0 0
2 13882 0 0
3 14519 0 0
4 14660 0 0
5 15137 0 0
6 15645 0 0
7 16099 0 0
8 16352 0 0
9 16870 0 0
10 17015 0 0
11 17635 0 0
12 17983 0 0
13 18755 0 0
14 18800 0 0
15 19758 0 0
16 19844 0 0
17 20587 0 0
18 21068 0 0
19 22642 0 0
20 23344 0 0
21 24453 0 0
22 25111 0 0
23 26715 0 0
24 27328 0 0
25 28183 0 0
26 29067 0 0
27 30007 0 0
28 30658 0 0
29 31523 0 0
30 32611 0 0
31 34062 0 0
32 36134 0 0
33 38128 0 0
34 41070 0 0
35 45742 0 0
36 49725 0 0
37 56838 0 0
38 60914 0 0
39 67306 0 0
40 68795 0 0
41 77052 0 0
42 83655 0 0
43 95352 0 0
44 106715 0 0
45 115986 0 0
46 120058 0 0
47 120021 0 0
48 123634 0 0
49 134789 0 0
50 143767 0 0
51 150416 0 0
52 157114 0 0
53 168837 0 0
54 182890 0 0
55 197582 0 0
56 232419 0 0
57 281721 0 0
58 316208 0 0
59 340546 0 0
60 367910 0 0
61 418655 0 0
62 468970 0 0
63 553115 0 0
64 711218 0 0
65 786719 0 0
66 857053 0 0
67 994782 0 0
68 1.18295e+06 0 0
69 1.24866e+06 0 0
70 1.28724e+06 0 0
71 1.51195e+06 0 0
72 1.60452e+06 0 0
73 1.67611e+06 0 0
74 1.54149e+06 0 0
75 1.43057e+06 0 0
76 1.32364e+06 0 0
77 1.19453e+06 0 0
78 1.14325e+06 0 0
79 1.08522e+06 0 0
80 1.05812e+06 0 0
81 980859 0 0
82 951737 0 0
83 931356 0 0
84 615869 0 0
85 501126 0 0
86 505155 0 0
87 445970 0 0
88 340976 0 0
89 265155 0 0
90 218812 0 0
91 184781 0 0
92 167821 0 0
93 148704 0 0
94 136698 0 0
95 122814 0 0
96 113926 0 0
97 103995 0 0
98 95698 0 0
99 89742 0 0
100 84359 0 0
101 80150 0 0
102 75835 0 0
103 74034 0 0
104 70374 0 0
105 71013 0 0
106 66901 0 0
107 68847 0 0
108 66000 0 0
109 67147 0 0
110 63518 0 0
111 63187 0 0
112 58900 0 0
113 57231 0 0
114 52978 0 0
115 50953 0 0
116 48608 0 0
117 47771 0 0
118 45163 0 0
119 43264 0 0
120 41845 0 0
121 41112 0 0
122 39150 0 0
123 37783 0 0
124 36767 0 0
125 34661 0 0
126 34339 0 0
127 32881 0 0
128 32661 0 0
129 31103 0 0
130 30392 0 0
131 28672 0 0
132 28698 0 0
133 26975 0 0
134 27099 0 0
135 25913 0 0
136 25621 0 0
137 24642 0 0
138 24427 0 0
139 23491 0 0
140 23489 0 0
141 22417 0 0
142 22325 0 0
143 21365 0 0
144 20881 0 0
145 20217 0 0
146 19772 0 0
147 19434 0 0
148 19212 0 0
149 18833 0 0
150 18513 0 0
151 18338 0 0
152 18025 0 0
153 18295 0 0
154 17581 0 0
155 17380 0 0
156 17038 0 0
157 17137 0 0
158 16463 0 0
159 16962 0 0
160 16371 0 0
161 17116 0 0
162 16685 0 0
163 16684 0 0
164 16438 0 0
165 16304 0 0
166 15830 0 0
167 16025 0 0
168 15621 0 0
169 15577 0 0
170 15312 0 0
171 15006 0 0
172 14671 0 0
173 14354 0 0
174 14299 0 0
175 14068 0 0
176 13891 0 0
177 13420 0 0
178 13662 0 0
179 13238 0 0
180 13367 0 0
181 12615 0 0
182 13258 0 0
183 12480 0 0
184 12868 0 0
185 12493 0 0
186 12337 0 0
187 11987 0 0
188 12162 0 0
189 11838 0 0
190 11810 0 0
191 11661 0 0
192 11664 0 0
193 11652 0 0
194 11380 0 0
195 11365 0 0
196 11221 0 0
197 11090 0 0
198 11061 0 0
199 10929 0 0
200 10864 0 0
201 10636 0 0
202 10435 0 0
203 10203 0 0
204 9825 0 0
205 9734 0 0
206 9563 0 0
207 9274 0 0
208 9274 0 0
209 9180 0 0
210 8964 0 0
211 8941 0 0
212 8653 0 0
213 8689 0 0
214 8375 0 0
215 8183 0 0
216 8049 0 0
217 8092 0 0
218 7751 0 0
219 7745 0 0
220 7613 0 0
221 7437 0 0
222 7278 0 0
223 7207 0 0
224 7014 0 0
225 6853 0 0
226 6738 0 0
227 6624 0 0
228 6587 0 0
229 6330 0 0
230 6595 0 0
231 6225 0 0
232 6235 0 0
233 6171 0 0
234 6094 0 0
235 5961 0 0
236 5826 0 0
237 5855 0 0
238 5873 0 0
