#P I Flux Inorm
0 13784 0 0
1 14091 0 0
2 14447 0 0
3 14823 0 0
4 15158 0 0
5 15728 0 0
6 15751 0 0
7 16604 0 0
8 16348 0 0
9 17093 0 0
10 17273 0 0
11 18091 0 0
12 18368 0 0
13 19341 0 0
14 19141 0 0
15 20272 0 0
16 20536 0 0
17 21565 0 0
18 22257 0 0
19 23286 0 0
20 24192 0 0
21 25305 0 0
22 26871 0 0
23 26707 0 0
24 27693 0 0
25 28692 0 0
26 29338 0 0
27 30139 0 0
28 31339 0 0
29 32521 0 0
30 34888 0 0
31 36085 0 0
32 39123 0 0
33 42343 0 0
34 46520 0 0
35 53522 0 0
36 57379 0 0
37 62930 0 0
38 66520 0 0
39 72413 0 0
40 79293 0 0
41 86925 0 0
42 100776 0 0
43 105658 0 0
44 112161 0 0
45 116398 0 0
46 122404 0 0
47 116208 0 0
48 123118 0 0
49 136021 0 0
50 147458 0 0
51 156077 0 0
52 170116 0 0
53 176372 0 0
54 198710 0 0
55 232031 0 0
56 280230 0 0
57 312275 0 0
58 333831 0 0
59 365282 0 0
60 417561 0 0
61 462296 0 0
62 555198 0 0
63 694314 0 0
64 766101 0 0
65 844772 0 0
66 991731 0 0
67 1.1597e+06 0 0
68 1.16683e+06 0 0
69 1.17813e+06 0 0
70 1.39284e+06 0 0
71 1.50554e+06 0 0
72 1.5617e+06 0 0
73 1.56297e+06 0 0
74 1.42002e+06 0 0
75 1.36305e+06 0 0
76 1.21096e+06 0 0
77 1.12765e+06 0 0
78 1.06061e+06 0 0
79 1.08555e+06 0 0
80 1.04296e+06 0 0
81 950751 0 0
82 913815 0 0
83 912268 0 0
84 805488 0 0
85 537011 0 0
86 486181 0 0
87 475767 0 0
88 415216 0 0
89 313902 0 0
90 244831 0 0
91 204525 0 0
92 176170 0 0
93 161073 0 0
94 142534 0 0
95 132568 0 0
96 117739 0 0
97 111816 0 0
98 100746 0 0
99 95614 0 0
100 87522 0 0
101 83600 0 0
102 78859 0 0
103 76186 0 0
104 73149 0 0
105 71557 0 0
106 70485 0 0
107 67702 0 0
108 69738 0 0
109 66858 0 0
110 68288 0 0
111 63069 0 0
112 64150 0 0
113 57842 0 0
114 57473 0 0
115 51972 0 0
116 52251 0 0
117 47745 0 0
118 48205 0 0
119 44441 0 0
120 43654 0 0
121 41900 0 0
122 41248 0 0
123 39153 0 0
124 37772 0 0
125 36177 0 0
126 34950 0 0
127 34915 0 0
128 32388 0 0
129 32676 0 0
130 30703 0 0
131 30897 0 0
132 28663 0 0
133 29351 0 0
134 27100 0 0
135 27032 0 0
136 25884 0 0
137 25856 0 0
138 24427 0 0
139 24876 0 0
140 23393 0 0
141 23348 0 0
142 22436 0 0
143 21819 0 0
144 21336 0 0
145 20705 0 0
146 20204 0 0
147 19769 0 0
148 19640 0 0
149 18766 0 0
150 19386 0 0
151 18180 0 0
152 18798 0 0
153 17659 0 0
154 18262 0 0
155 17205 0 0
156 17554 0 0
157 16944 0 0
158 17359 0 0
159 16442 0 0
160 17101 0 0
161 16559 0 0
162 16996 0 0
163 16578 0 0
164 16384 0 0
165 16457 0 0
166 16054 0 0
167 16187 0 0
168 15695 0 0
169 15567 0 0
170 15294 0 0
171 15324 0 0
172 14786 0 0
173 14874 0 0
174 14299 0 0
175 14449 0 0
176 13800 0 0
177 14006 0 0
178 13506 0 0
179 13762 0 0
180 12843 0 0
181 13322 0 0
182 12849 0 0
183 12745 0 0
184 12585 0 0
185 12949 0 0
186 12325 0 0
187 12293 0 0
188 12205 0 0
189 12062 0 0
190 12025 0 0
191 11684 0 0
192 11998 0 0
193 11391 0 0
194 11522 0 0
195 11092 0 0
196 11362 0 0
197 10741 0 0
198 11270 0 0
199 10629 0 0
200 10986 0 0
201 10501 0 0
202 10650 0 0
203 9971 0 0
204 10268 0 0
205 9893 0 0
206 9833 0 0
207 9599 0 0
208 9546 0 0
209 9316 0 0
210 9037 0 0
