#P I Flux Inorm
346 2645 0 0
347 2553 0 0
348 2656 0 0
349 2613 0 0
350 2667 0 0
351 2590 0 0
352 2699 0 0
353 2517 0 0
354 2603 0 0
355 2521 0 0
356 2550 0 0
357 2584 0 0
358 2459 0 0
359 2528 0 0
360 2500 0 0
361 2460 0 0
362 2467 0 0
363 2385 0 0
364 2413 0 0
365 2425 0 0
366 2434 0 0
367 2515 0 0
368 2358 0 0
369 2368 0 0
370 2369 0 0
371 2397 0 0
372 2395 0 0
373 2413 0 0
374 2400 0 0
375 2386 0 0
376 2283 0 0
377 2323 0 0
378 2299 0 0
379 2307 0 0
380 2243 0 0
381 2188 0 0
382 2269 0 0
383 2281 0 0
384 2293 0 0
385 2297 0 0
386 2220 0 0
387 2248 0 0
388 2198 0 0
389 2216 0 0
390 2146 0 0
391 2167 0 0
392 2175 0 0
393 2205 0 0
394 2099 0 0
395 2198 0 0
396 2137 0 0
397 2126 0 0
398 2101 0 0
399 2164 0 0
400 2105 0 0
401 2154 0 0
402 2081 0 0
403 2185 0 0
404 2075 0 0
405 2062 0 0
406 2120 0 0
407 2106 0 0
408 2120 0 0
409 2075 0 0
410 2065 0 0
411 2057 0 0
412 2046 0 0
413 2057 0 0
414 1992 0 0
415 1966 0 0
416 2006 0 0
417 2008 0 0
418 2012 0 0
419 1957 0 0
420 1850 0 0
421 1923 0 0
422 1905 0 0
423 1949 0 0
424 1943 0 0
425 1855 0 0
426 1848 0 0
427 1896 0 0
428 1843 0 0
429 1951 0 0
430 1828 0 0
431 1868 0 0
432 1862 0 0
433 1875 0 0
434 1925 0 0
435 1889 0 0
436 1906 0 0
437 1819 0 0
438 1841 0 0
439 1930 0 0
440 1885 0 0
441 1770 0 0
442 1832 0 0
443 1916 0 0
444 1855 0 0
445 1794 0 0
446 1841 0 0
447 1865 0 0
448 1806 0 0
449 1811 0 0
450 1809 0 0
451 1842 0 0
452 1799 0 0
453 1825 0 0
454 1828 0 0
455 1793 0 0
456 1840 0 0
457 1800 0 0
458 1734 0 0
459 1820 0 0
460 1704 0 0
461 1764 0 0
462 1756 0 0
463 1752 0 0
464 1779 0 0
465 1793 0 0
466 1736 0 0
467 1800 0 0
468 1643 0 0
469 1682 0 0
470 1745 0 0
471 1739 0 0
472 1702 0 0
473 1647 0 0
474 1748 0 0
475 1605 0 0
476 1615 0 0
477 1648 0 0
478 1651 0 0
479 1574 0 0
480 1663 0 0
481 1624 0 0
482 1655 0 0
483 1631 0 0
484 1701 0 0
485 1628 0 0
486 1599 0 0
487 1621 0 0
488 1650 0 0
489 1633 0 0
490 1606 0 0
491 1694 0 0
492 1588 0 0
493 1616 0 0
494 1699 0 0
495 1657 0 0
496 1677 0 0
497 1586 0 0
498 1580 0 0
499 1613 0 0
500 1637 0 0
501 1614 0 0
502 1614 0 0
503 1655 0 0
504 1559 0 0
505 1604 0 0
506 1617 0 0
507 1582 0 0
508 1605 0 0
509 1583 0 0
510 1533 0 0
511 1555 0 0
512 1495 0 0
513 1577 0 0
514 1578 0 0
515 1492 0 0
516 1530 0 0
517 1539 0 0
518 1574 0 0
519 1501 0 0
520 1555 0 0
521 1514 0 0
522 1519 0 0
523 1571 0 0
524 1504 0 0
525 1555 0 0
526 1574 0 0
527 1521 0 0
528 1501 0 0
529 1476 0 0
530 1488 0 0
531 1502 0 0
532 1519 0 0
533 1526 0 0
534 1546 0 0
535 1530 0 0
536 1496 0 0
537 1459 0 0
538 1466 0 0
539 1465 0 0
540 1415 0 0
541 1422 0 0
542 1441 0 0
543 1507 0 0
544 1558 0 0
545 1516 0 0
546 1482 0 0
547 1459 0 0
548 1423 0 0
549 1470 0 0
550 1531 0 0
551 1455 0 0
552 1450 0 0
553 1429 0 0
554 1449 0 0
555 1444 0 0
556 1445 0 0
557 1458 0 0
558 1408 0 0
559 1459 0 0
560 1452 0 0
561 1401 0 0
562 1459 0 0
563 1474 0 0
564 1406 0 0
565 1440 0 0
566 1383 0 0
567 1358 0 0
568 1476 0 0
569 1387 0 0
570 1345 0 0
571 1448 0 0
572 1404 0 0
573 1374 0 0
574 1412 0 0
575 1355 0 0
576 1351 0 0
577 1387 0 0
578 1417 0 0
579 1413 0 0
580 1360 0 0
581 1369 0 0
582 1376 0 0
583 1373 0 0
584 1356 0 0
585 1415 0 0
586 1324 0 0
587 1382 0 0
588 1247 0 0
589 1359 0 0
590 1364 0 0
591 1411 0 0
592 1434 0 0
593 1319 0 0
594 1332 0 0
595 1422 0 0
596 1300 0 0
597 1420 0 0
598 1362 0 0
599 1378 0 0
600 1389 0 0
601 1371 0 0
602 1391 0 0
603 1300 0 0
604 1372 0 0
605 1315 0 0
606 1324 0 0
607 1382 0 0
608 1365 0 0
609 1389 0 0
610 1254 0 0
611 1347 0 0
612 1382 0 0
613 1334 0 0
614 1343 0 0
615 1356 0 0
616 1302 0 0
617 1335 0 0
618 1346 0 0
619 1346 0 0
620 1331 0 0
621 1338 0 0
622 1303 0 0
623 1344 0 0
624 1350 0 0
625 1346 0 0
626 1349 0 0
627 1258 0 0
628 1350 0 0
629 1353 0 0
630 1299 0 0
631 1277 0 0
632 1312 0 0
633 1326 0 0
634 1337 0 0
635 1291 0 0
636 1260 0 0
637 1375 0 0
638 1344 0 0
639 1367 0 0
640 1363 0 0
641 1258 0 0
642 1323 0 0
643 1281 0 0
644 1290 0 0
645 1318 0 0
646 1343 0 0
647 1275 0 0
648 1338 0 0
649 1290 0 0
650 1265 0 0
651 1305 0 0
652 1296 0 0
653 1240 0 0
654 1283 0 0
655 1331 0 0
656 1255 0 0
657 1324 0 0
658 1268 0 0
659 1339 0 0
660 1357 0 0
661 1292 0 0
662 1289 0 0
663 1276 0 0
664 1242 0 0
665 1273 0 0
666 1261 0 0
667 1371 0 0
668 1298 0 0
669 1294 0 0
670 1251 0 0
671 1306 0 0
672 1286 0 0
673 1339 0 0
674 1289 0 0
675 1273 0 0
676 1230 0 0
677 1287 0 0
678 1218 0 0
679 1289 0 0
680 1292 0 0
681 1244 0 0
682 1281 0 0
683 1238 0 0
684 1234 0 0
685 1181 0 0
686 1246 0 0
687 1256 0 0
688 1302 0 0
689 1248 0 0
690 1296 0 0
691 1235 0 0
692 1251 0 0
693 1228 0 0
694 1293 0 0
695 1256 0 0
696 1256 0 0
697 1330 0 0
698 1298 0 0
699 1260 0 0
700 1258 0 0
701 1220 0 0
702 1197 0 0
703 1249 0 0
704 1296 0 0
705 1225 0 0
706 1258 0 0
707 1246 0 0
708 1228 0 0
709 1214 0 0
710 1235 0 0
711 1218 0 0
712 1231 0 0
713 1247 0 0
714 1264 0 0
715 1188 0 0
716 1228 0 0
717 1302 0 0
718 1248 0 0
719 1230 0 0
720 1278 0 0
721 1227 0 0
722 1219 0 0
723 1236 0 0
724 1202 0 0
725 1264 0 0
726 1180 0 0
727 1202 0 0
728 1252 0 0
729 1230 0 0
730 1265 0 0
731 1227 0 0
732 1230 0 0
733 1234 0 0
734 1300 0 0
735 1178 0 0
736 1299 0 0
737 1198 0 0
738 1238 0 0
739 1234 0 0
740 1244 0 0
741 1221 0 0
742 1231 0 0
743 1224 0 0
744 1164 0 0
745 1263 0 0
746 1189 0 0
747 1189 0 0
748 1253 0 0
749 1169 0 0
750 1246 0 0
751 1330 0 0
752 1199 0 0
753 1194 0 0
754 1258 0 0
755 1219 0 0
756 1200 0 0
757 1238 0 0
758 1263 0 0
759 1195 0 0
760 1255 0 0
761 1194 0 0
762 1256 0 0
763 1139 0 0
764 1286 0 0
765 1164 0 0
766 1236 0 0
767 1273 0 0
768 1210 0 0
769 1204 0 0
770 1250 0 0
771 1163 0 0
772 1225 0 0
773 1201 0 0
774 1229 0 0
775 1212 0 0
776 1269 0 0
777 1282 0 0
778 1286 0 0
779 1235 0 0
780 1240 0 0
781 1265 0 0
782 1226 0 0
783 1209 0 0
784 1189 0 0
785 1178 0 0
786 1293 0 0
787 1261 0 0
788 1285 0 0
789 1256 0 0
790 1292 0 0
791 1248 0 0
792 1207 0 0
793 1206 0 0
794 1222 0 0
795 1220 0 0
796 1242 0 0
797 1259 0 0
798 1275 0 0
799 1265 0 0
800 1259 0 0
801 1308 0 0
802 1169 0 0
803 1230 0 0
804 1231 0 0
805 1232 0 0
806 1206 0 0
807 1190 0 0
808 1251 0 0
809 1226 0 0
810 1219 0 0
811 1230 0 0
812 1246 0 0
813 1141 0 0
814 1192 0 0
815 1213 0 0
816 1229 0 0
817 1232 0 0
818 1252 0 0
819 1203 0 0
820 1190 0 0
821 1248 0 0
822 1260 0 0
823 1229 0 0
824 1174 0 0
825 1188 0 0
826 1214 0 0
827 1228 0 0
828 1250 0 0
829 1194 0 0
830 1231 0 0
831 1177 0 0
832 1190 0 0
833 1219 0 0
834 1175 0 0
835 1188 0 0
836 1163 0 0
837 1180 0 0
838 1149 0 0
839 1195 0 0
840 1151 0 0
841 1151 0 0
842 1206 0 0
843 1172 0 0
844 1205 0 0
845 1203 0 0
846 1256 0 0
847 1167 0 0
848 1166 0 0
849 1174 0 0
850 1183 0 0
851 1201 0 0
852 1165 0 0
853 1228 0 0
854 1213 0 0
855 1166 0 0
856 1172 0 0
857 1133 0 0
858 1224 0 0
859 1254 0 0
860 1131 0 0
