#P I Flux Inorm
0 13481 0 0
1 13887 0 0
2 14325 0 0
3 14642 0 0
4 15146 0 0
5 15360 0 0
6 15765 0 0
7 16113 0 0
8 16231 0 0
9 16780 0 0
10 17070 0 0
11 18031 0 0
12 18017 0 0
13 18987 0 0
14 18793 0 0
15 20160 0 0
16 20258 0 0
17 21231 0 0
18 21800 0 0
19 23094 0 0
20 24118 0 0
21 25627 0 0
22 25883 0 0
23 26882 0 0
24 27921 0 0
25 28506 0 0
26 29385 0 0
27 30247 0 0
28 31767 0 0
29 33621 0 0
30 35952 0 0
31 38603 0 0
32 42063 0 0
33 47541 0 0
34 51851 0 0
35 59464 0 0
36 63627 0 0
37 70059 0 0
38 75129 0 0
39 83281 0 0
40 87599 0 0
41 95044 0 0
42 103290 0 0
43 104946 0 0
44 111107 0 0
45 111247 0 0
46 116072 0 0
47 110268 0 0
48 119884 0 0
49 135686 0 0
50 150369 0 0
51 158969 0 0
52 168419 0 0
53 180047 0 0
54 210660 0 0
55 244685 0 0
56 290707 0 0
57 321489 0 0
58 347974 0 0
59 394544 0 0
60 433412 0 0
61 497462 0 0
62 626129 0 0
63 714670 0 0
64 791507 0 0
65 883148 0 0
66 1.06587e+06 0 0
67 1.13542e+06 0 0
68 1.1126e+06 0 0
69 1.19348e+06 0 0
70 1.38807e+06 0 0
71 1.43641e+06 0 0
72 1.52698e+06 0 0
73 1.52886e+06 0 0
74 1.4252e+06 0 0
75 1.40232e+06 0 0
76 1.22475e+06 0 0
77 1.12626e+06 0 0
78 1.05339e+06 0 0
79 1.08841e+06 0 0
80 1.01835e+06 0 0
81 917813 0 0
82 847213 0 0
83 889080 0 0
84 827857 0 0
85 623360 0 0
86 480549 0 0
87 445782 0 0
88 431110 0 0
89 337944 0 0
90 252305 0 0
91 209806 0 0
92 175328 0 0
93 160377 0 0
94 143903 0 0
95 134256 0 0
96 119627 0 0
97 112812 0 0
98 103428 0 0
99 99150 0 0
100 91370 0 0
101 86455 0 0
102 82169 0 0
103 77536 0 0
104 75968 0 0
105 72583 0 0
106 73071 0 0
107 68948 0 0
108 71105 0 0
109 67230 0 0
110 70123 0 0
111 64158 0 0
112 65868 0 0
113 58767 0 0
114 58081 0 0
115 52400 0 0
116 52024 0 0
117 47450 0 0
118 47100 0 0
119 43980 0 0
120 42516 0 0
121 41764 0 0
122 40370 0 0
123 39275 0 0
124 36501 0 0
125 36390 0 0
126 33964 0 0
127 34606 0 0
128 31408 0 0
129 32380 0 0
130 30008 0 0
131 30424 0 0
132 28406 0 0
133 28703 0 0
134 26764 0 0
135 26686 0 0
136 25938 0 0
137 25128 0 0
138 24365 0 0
139 23566 0 0
140 22993 0 0
141 22266 0 0
142 22308 0 0
143 21336 0 0
144 21114 0 0
145 20010 0 0
146 20140 0 0
147 19230 0 0
148 19025 0 0
149 18269 0 0
150 18510 0 0
151 17794 0 0
152 18077 0 0
153 17691 0 0
154 17367 0 0
155 16829 0 0
156 16684 0 0
157 16697 0 0
158 16501 0 0
159 15959 0 0
160 16147 0 0
161 15980 0 0
162 16063 0 0
163 15971 0 0
164 15658 0 0
165 15666 0 0
166 14907 0 0
167 15348 0 0
168 14754 0 0
169 14829 0 0
170 14196 0 0
171 14719 0 0
172 13855 0 0
173 14138 0 0
174 13360 0 0
175 13521 0 0
176 13093 0 0
177 13210 0 0
178 12575 0 0
179 12644 0 0
180 12579 0 0
181 12195 0 0
182 12245 0 0
183 11906 0 0
184 12217 0 0
185 11786 0 0
186 12041 0 0
187 11425 0 0
188 11753 0 0
189 10946 0 0
190 11330 0 0
191 11096 0 0
192 11275 0 0
193 10707 0 0
194 10896 0 0
195 10354 0 0
196 10828 0 0
197 10344 0 0
198 10397 0 0
199 10201 0 0
200 10115 0 0
201 10085 0 0
202 9657 0 0
203 9845 0 0
204 9496 0 0
205 9516 0 0
206 8918 0 0
207 9203 0 0
208 8915 0 0
209 9208 0 0
210 8606 0 0
211 8912 0 0
212 8358 0 0
213 8570 0 0
214 8206 0 0
215 8378 0 0
216 8074 0 0
217 8138 0 0
218 7640 0 0
219 7590 0 0
220 7613 0 0
221 7458 0 0
222 7342 0 0
223 7119 0 0
224 7147 0 0
225 6856 0 0
226 6628 0 0
227 6607 0 0
228 6859 0 0
229 6452 0 0
230 6605 0 0
231 6305 0 0
232 6301 0 0
233 6214 0 0
234 6079 0 0
235 6124 0 0
236 6263 0 0
237 6059 0 0
238 6058 0 0
239 5931 0 0
240 5798 0 0
241 5819 0 0
242 5591 0 0
243 5780 0 0
244 5431 0 0
245 5543 0 0
246 5492 0 0
247 5544 0 0
248 5501 0 0
249 5451 0 0
250 5233 0 0
251 5386 0 0
252 5220 0 0
253 5228 0 0
254 5214 0 0
255 5135 0 0
256 5007 0 0
257 5009 0 0
258 5005 0 0
259 4963 0 0
260 4945 0 0
261 4866 0 0
262 4719 0 0
263 4748 0 0
264 4621 0 0
265 4559 0 0
266 4580 0 0
267 4450 0 0
268 4589 0 0
269 4384 0 0
270 4476 0 0
271 4296 0 0
272 4281 0 0
273 4204 0 0
274 4267 0 0
275 4181 0 0
276 4138 0 0
277 4164 0 0
278 4188 0 0
279 3948 0 0
280 4035 0 0
281 3953 0 0
282 3996 0 0
283 4045 0 0
284 3871 0 0
285 4004 0 0
286 3823 0 0
287 3902 0 0
288 3779 0 0
289 3808 0 0
290 3713 0 0
291 3810 0 0
292 3709 0 0
293 3749 0 0
294 3713 0 0
295 3774 0 0
296 3601 0 0
297 3649 0 0
298 3710 0 0
299 3604 0 0
300 3613 0 0
301 3615 0 0
302 3551 0 0
303 3427 0 0
304 3533 0 0
305 3480 0 0
306 3561 0 0
307 3457 0 0
308 3483 0 0
309 3441 0 0
310 3565 0 0
311 3378 0 0
312 3596 0 0
313 3349 0 0
314 3424 0 0
315 3325 0 0
316 3315 0 0
317 3400 0 0
318 3331 0 0
319 3314 0 0
320 3394 0 0
321 3432 0 0
322 3340 0 0
323 3310 0 0
324 3369 0 0
325 3439 0 0
326 3326 0 0
327 3431 0 0
328 3209 0 0
329 3301 0 0
330 3237 0 0
331 3199 0 0
332 3183 0 0
333 3352 0 0
334 3324 0 0
335 3284 0 0
336 3201 0 0
337 3190 0 0
338 3003 0 0
339 3153 0 0
340 3150 0 0
341 3077 0 0
342 3076 0 0
343 2986 0 0
344 3047 0 0
345 2956 0 0
346 2946 0 0
347 2879 0 0
348 2828 0 0
349 2877 0 0
350 2823 0 0
351 2891 0 0
352 2800 0 0
353 2776 0 0
354 2802 0 0
355 2811 0 0
356 2879 0 0
357 2745 0 0
358 2677 0 0
359 2731 0 0
360 2738 0 0
361 2686 0 0
362 2753 0 0
363 2696 0 0
364 2713 0 0
365 2664 0 0
366 2587 0 0
367 2754 0 0
368 2595 0 0
369 2657 0 0
370 2546 0 0
371 2572 0 0
372 2649 0 0
373 2537 0 0
374 2622 0 0
375 2635 0 0
376 2592 0 0
377 2559 0 0
378 2580 0 0
379 2485 0 0
380 2504 0 0
381 2452 0 0
382 2405 0 0
383 2530 0 0
384 2458 0 0
385 2431 0 0
386 2496 0 0
387 2528 0 0
388 2461 0 0
389 2334 0 0
390 2494 0 0
391 2449 0 0
392 2407 0 0
393 2262 0 0
394 2400 0 0
395 2343 0 0
396 2451 0 0
397 2294 0 0
398 2366 0 0
399 2251 0 0
400 2331 0 0
401 2261 0 0
402 2259 0 0
403 2295 0 0
404 2208 0 0
405 2274 0 0
406 2277 0 0
407 2278 0 0
408 2175 0 0
409 2201 0 0
410 2183 0 0
411 2255 0 0
412 2181 0 0
413 2164 0 0
414 2038 0 0
415 2136 0 0
416 2043 0 0
417 2132 0 0
418 2095 0 0
419 2170 0 0
420 2146 0 0
421 2152 0 0
422 2150 0 0
423 2151 0 0
424 2117 0 0
425 2080 0 0
426 2022 0 0
427 2031 0 0
428 2032 0 0
429 2039 0 0
430 2073 0 0
431 2061 0 0
432 2074 0 0
433 2038 0 0
434 2085 0 0
435 1930 0 0
436 1951 0 0
437 2031 0 0
438 2040 0 0
439 2022 0 0
440 1921 0 0
441 2020 0 0
442 1984 0 0
443 2023 0 0
444 2068 0 0
445 1981 0 0
446 1998 0 0
447 2004 0 0
448 1961 0 0
449 1956 0 0
450 2001 0 0
451 1921 0 0
452 1971 0 0
453 1900 0 0
454 1944 0 0
455 1972 0 0
456 1958 0 0
457 1899 0 0
458 1986 0 0
459 1935 0 0
460 1983 0 0
461 1915 0 0
462 1958 0 0
463 1869 0 0
464 1822 0 0
465 1793 0 0
466 1797 0 0
467 1825 0 0
468 1792 0 0
469 1784 0 0
470 1752 0 0
471 1854 0 0
472 1829 0 0
473 1789 0 0
474 1804 0 0
475 1820 0 0
476 1775 0 0
477 1708 0 0
478 1730 0 0
479 1716 0 0
480 1741 0 0
481 1765 0 0
482 1748 0 0
483 1654 0 0
484 1733 0 0
485 1692 0 0
486 1800 0 0
487 1728 0 0
488 1759 0 0
489 1744 0 0
490 1710 0 0
491 1701 0 0
492 1642 0 0
493 1751 0 0
494 1700 0 0
495 1654 0 0
496 1664 0 0
497 1732 0 0
498 1688 0 0
499 1696 0 0
500 1651 0 0
501 1742 0 0
502 1666 0 0
503 1687 0 0
504 1661 0 0
505 1679 0 0
506 1669 0 0
507 1634 0 0
508 1631 0 0
509 1694 0 0
510 1626 0 0
511 1572 0 0
512 1662 0 0
513 1652 0 0
514 1610 0 0
515 1604 0 0
516 1598 0 0
517 1669 0 0
518 1716 0 0
519 1589 0 0
520 1597 0 0
521 1619 0 0
522 1656 0 0
523 1573 0 0
524 1567 0 0
525 1577 0 0
526 1600 0 0
527 1651 0 0
528 1524 0 0
529 1614 0 0
530 1630 0 0
531 1680 0 0
532 1576 0 0
533 1494 0 0
534 1614 0 0
535 1590 0 0
536 1542 0 0
537 1543 0 0
538 1501 0 0
539 1531 0 0
540 1496 0 0
541 1551 0 0
542 1561 0 0
543 1542 0 0
544 1600 0 0
545 1427 0 0
546 1486 0 0
547 1457 0 0
548 1491 0 0
549 1542 0 0
550 1459 0 0
551 1509 0 0
552 1591 0 0
553 1570 0 0
554 1514 0 0
555 1518 0 0
556 1482 0 0
557 1531 0 0
558 1420 0 0
559 1481 0 0
560 1451 0 0
561 1527 0 0
562 1430 0 0
563 1499 0 0
564 1494 0 0
565 1469 0 0
566 1431 0 0
567 1369 0 0
568 1393 0 0
569 1433 0 0
570 1446 0 0
571 1452 0 0
572 1443 0 0
573 1420 0 0
574 1419 0 0
575 1429 0 0
576 1320 0 0
577 1462 0 0
578 1433 0 0
579 1410 0 0
580 1454 0 0
581 1364 0 0
582 1391 0 0
583 1477 0 0
584 1404 0 0
585 1348 0 0
586 1426 0 0
587 1398 0 0
588 1393 0 0
589 1364 0 0
590 1388 0 0
591 1413 0 0
592 1314 0 0
593 1385 0 0
594 1384 0 0
595 1334 0 0
596 1422 0 0
597 1383 0 0
598 1411 0 0
599 1326 0 0
600 1442 0 0
601 1362 0 0
602 1408 0 0
603 1383 0 0
604 1363 0 0
605 1392 0 0
606 1391 0 0
607 1378 0 0
608 1407 0 0
609 1335 0 0
610 1297 0 0
611 1371 0 0
612 1368 0 0
613 1396 0 0
614 1435 0 0
615 1362 0 0
616 1350 0 0
617 1384 0 0
618 1306 0 0
619 1354 0 0
620 1335 0 0
621 1352 0 0
622 1305 0 0
623 1348 0 0
624 1365 0 0
625 1347 0 0
626 1396 0 0
627 1333 0 0
628 1360 0 0
629 1389 0 0
630 1341 0 0
631 1382 0 0
632 1315 0 0
633 1396 0 0
634 1381 0 0
635 1330 0 0
636 1402 0 0
637 1325 0 0
638 1396 0 0
639 1311 0 0
640 1375 0 0
641 1288 0 0
642 1306 0 0
643 1271 0 0
644 1319 0 0
645 1397 0 0
646 1310 0 0
647 1330 0 0
648 1353 0 0
649 1295 0 0
650 1301 0 0
651 1267 0 0
652 1376 0 0
653 1371 0 0
654 1290 0 0
655 1367 0 0
656 1362 0 0
657 1314 0 0
658 1311 0 0
659 1332 0 0
660 1298 0 0
661 1337 0 0
662 1366 0 0
663 1302 0 0
664 1395 0 0
665 1342 0 0
666 1299 0 0
667 1300 0 0
668 1310 0 0
669 1311 0 0
670 1279 0 0
671 1298 0 0
672 1308 0 0
673 1300 0 0
674 1256 0 0
675 1296 0 0
676 1299 0 0
677 1244 0 0
678 1267 0 0
679 1254 0 0
680 1270 0 0
681 1271 0 0
682 1279 0 0
683 1237 0 0
684 1333 0 0
685 1333 0 0
686 1275 0 0
687 1302 0 0
688 1270 0 0
689 1275 0 0
690 1244 0 0
691 1236 0 0
692 1256 0 0
693 1337 0 0
694 1283 0 0
695 1306 0 0
696 1303 0 0
697 1298 0 0
698 1303 0 0
699 1272 0 0
700 1327 0 0
701 1344 0 0
702 1262 0 0
703 1268 0 0
704 1253 0 0
705 1296 0 0
706 1276 0 0
707 1267 0 0
708 1294 0 0
709 1263 0 0
710 1229 0 0
711 1257 0 0
712 1241 0 0
713 1273 0 0
714 1251 0 0
715 1326 0 0
716 1281 0 0
717 1314 0 0
718 1237 0 0
719 1237 0 0
720 1272 0 0
721 1274 0 0
722 1268 0 0
723 1271 0 0
724 1273 0 0
725 1228 0 0
726 1288 0 0
727 1253 0 0
728 1239 0 0
729 1200 0 0
730 1268 0 0
731 1264 0 0
732 1258 0 0
733 1190 0 0
734 1250 0 0
735 1311 0 0
736 1259 0 0
737 1263 0 0
738 1197 0 0
739 1239 0 0
740 1265 0 0
741 1232 0 0
742 1283 0 0
743 1255 0 0
744 1273 0 0
745 1283 0 0
746 1225 0 0
747 1245 0 0
748 1271 0 0
749 1277 0 0
750 1265 0 0
751 1354 0 0
752 1268 0 0
753 1282 0 0
754 1262 0 0
755 1213 0 0
756 1242 0 0
757 1239 0 0
758 1186 0 0
759 1210 0 0
760 1224 0 0
761 1155 0 0
762 1224 0 0
763 1210 0 0
764 1226 0 0
765 1200 0 0
766 1240 0 0
767 1224 0 0
768 1189 0 0
769 1264 0 0
770 1229 0 0
771 1286 0 0
772 1241 0 0
773 1248 0 0
774 1240 0 0
775 1272 0 0
776 1245 0 0
777 1225 0 0
778 1301 0 0
779 1295 0 0
780 1241 0 0
781 1216 0 0
782 1235 0 0
783 1209 0 0
784 1253 0 0
785 1274 0 0
786 1257 0 0
787 1283 0 0
788 1233 0 0
789 1217 0 0
790 1243 0 0
791 1222 0 0
792 1254 0 0
793 1262 0 0
794 1264 0 0
795 1208 0 0
796 1230 0 0
797 1252 0 0
798 1235 0 0
799 1201 0 0
800 1252 0 0
801 1165 0 0
802 1236 0 0
803 1251 0 0
804 1219 0 0
805 1237 0 0
806 1279 0 0
807 1276 0 0
808 1230 0 0
809 1220 0 0
810 1254 0 0
811 1143 0 0
812 1239 0 0
813 1243 0 0
814 1213 0 0
815 1211 0 0
816 1186 0 0
817 1217 0 0
818 1226 0 0
819 1240 0 0
820 1222 0 0
821 1199 0 0
822 1229 0 0
823 1180 0 0
824 1210 0 0
825 1213 0 0
826 1220 0 0
827 1209 0 0
828 1177 0 0
829 1217 0 0
830 1187 0 0
831 1166 0 0
832 1217 0 0
833 1180 0 0
834 1218 0 0
835 1243 0 0
836 1231 0 0
837 1212 0 0
838 1146 0 0
839 1229 0 0
840 1225 0 0
841 1224 0 0
842 1184 0 0
843 1227 0 0
844 1207 0 0
845 1288 0 0
846 1217 0 0
