#P I Flux Inorm
0 17673 0 0
1 18163 0 0
2 18546 0 0
3 19194 0 0
4 19146 0 0
5 20289 0 0
6 20278 0 0
7 21415 0 0
8 22056 0 0
9 23054 0 0
10 23484 0 0
11 24329 0 0
12 24893 0 0
13 25845 0 0
14 26962 0 0
15 28173 0 0
16 29191 0 0
17 31949 0 0
18 33046 0 0
19 35566 0 0
20 36568 0 0
21 41239 0 0
22 43103 0 0
23 46814 0 0
24 47692 0 0
25 51384 0 0
26 54548 0 0
27 57696 0 0
28 65400 0 0
29 63898 0 0
30 68895 0 0
31 61056 0 0
32 67822 0 0
33 65395 0 0
34 72737 0 0
35 73135 0 0
36 79816 0 0
37 76715 0 0
38 78362 0 0
39 78102 0 0
40 77863 0 0
41 79963 0 0
42 82247 0 0
43 91019 0 0
44 98159 0 0
45 111363 0 0
46 108709 0 0
47 126104 0 0
48 118641 0 0
49 129877 0 0
50 144973 0 0
51 170611 0 0
52 175208 0 0
53 163119 0 0
54 152994 0 0
55 149454 0 0
56 149584 0 0
57 161576 0 0
58 188796 0 0
59 214185 0 0
60 251655 0 0
61 288717 0 0
62 298578 0 0
63 328984 0 0
64 408490 0 0
65 604077 0 0
66 705710 0 0
67 804296 0 0
68 928170 0 0
69 1.03877e+06 0 0
70 1.18334e+06 0 0
71 1.48964e+06 0 0
72 1.81473e+06 0 0
73 1.91224e+06 0 0
74 2.38619e+06 0 0
75 1.72789e+06 0 0
76 1.42638e+06 0 0
77 1.24573e+06 0 0
78 1.13658e+06 0 0
79 1.03672e+06 0 0
80 921026 0 0
81 830338 0 0
82 702888 0 0
83 585237 0 0
84 505469 0 0
85 440486 0 0
86 381998 0 0
87 284874 0 0
88 271527 0 0
89 253325 0 0
90 252798 0 0
91 244985 0 0
92 268901 0 0
93 275502 0 0
94 277091 0 0
95 254289 0 0
96 221349 0 0
97 200615 0 0
98 168863 0 0
99 145294 0 0
100 121146 0 0
101 110065 0 0
102 98112 0 0
103 91298 0 0
104 82012 0 0
105 75374 0 0
106 69404 0 0
107 63871 0 0
108 57975 0 0
109 53290 0 0
110 48979 0 0
111 45868 0 0
112 42831 0 0
113 41010 0 0
114 38081 0 0
115 37409 0 0
116 34874 0 0
117 34903 0 0
118 32397 0 0
119 31553 0 0
120 29942 0 0
121 29047 0 0
122 28083 0 0
123 27353 0 0
124 26478 0 0
125 25584 0 0
126 25025 0 0
127 23929 0 0
128 23782 0 0
129 22747 0 0
130 22695 0 0
131 21763 0 0
132 21498 0 0
133 20492 0 0
134 20437 0 0
135 19865 0 0
136 19337 0 0
137 19064 0 0
138 18743 0 0
139 18285 0 0
140 17926 0 0
141 17806 0 0
142 17331 0 0
143 17068 0 0
144 16549 0 0
145 16167 0 0
146 15984 0 0
147 15869 0 0
148 15386 0 0
149 15480 0 0
150 15105 0 0
151 14825 0 0
152 14316 0 0
153 14289 0 0
154 14306 0 0
155 14047 0 0
156 13638 0 0
157 13238 0 0
158 13023 0 0
159 12330 0 0
160 12166 0 0
161 11924 0 0
162 11705 0 0
163 11283 0 0
164 11275 0 0
165 10959 0 0
166 10710 0 0
167 10609 0 0
168 10291 0 0
169 10254 0 0
170 9672 0 0
171 9695 0 0
172 9578 0 0
173 9365 0 0
174 8999 0 0
175 9068 0 0
176 8765 0 0
177 8645 0 0
178 8288 0 0
179 8083 0 0
180 8044 0 0
181 7768 0 0
182 7737 0 0
183 7560 0 0
184 7567 0 0
185 7196 0 0
186 7258 0 0
187 6980 0 0
188 6936 0 0
189 6780 0 0
190 6876 0 0
191 6563 0 0
192 6607 0 0
193 6507 0 0
194 6307 0 0
195 6318 0 0
196 6300 0 0
197 6216 0 0
198 6087 0 0
199 5951 0 0
200 5750 0 0
201 5933 0 0
202 5896 0 0
203 5814 0 0
204 5534 0 0
205 5696 0 0
206 5537 0 0
207 5408 0 0
208 5447 0 0
209 5302 0 0
210 5273 0 0
211 5073 0 0
212 5117 0 0
213 4964 0 0
214 4874 0 0
215 4885 0 0
216 4801 0 0
217 4748 0 0
218 4771 0 0
219 4582 0 0
220 4614 0 0
221 4655 0 0
222 4446 0 0
223 4477 0 0
224 4454 0 0
225 4314 0 0
226 4320 0 0
227 4243 0 0
228 4111 0 0
229 4155 0 0
230 4063 0 0
231 4185 0 0
232 3966 0 0
233 3936 0 0
234 3840 0 0
235 3868 0 0
236 3847 0 0
237 3667 0 0
238 3811 0 0
239 3723 0 0
240 3622 0 0
241 3700 0 0
242 3413 0 0
243 3581 0 0
244 3503 0 0
245 3553 0 0
246 3514 0 0
247 3348 0 0
248 3515 0 0
249 3286 0 0
250 3391 0 0
251 3366 0 0
252 3309 0 0
253 3315 0 0
254 3303 0 0
255 3262 0 0
256 3285 0 0
257 3206 0 0
258 3226 0 0
259 3039 0 0
260 3147 0 0
261 3103 0 0
262 3183 0 0
263 3032 0 0
264 3028 0 0
265 3050 0 0
266 3045 0 0
267 3062 0 0
268 2991 0 0
269 2871 0 0
270 2891 0 0
271 2823 0 0
272 2724 0 0
273 2890 0 0
274 2768 0 0
275 2797 0 0
276 2836 0 0
277 2699 0 0
278 2802 0 0
279 2807 0 0
280 2768 0 0
281 2709 0 0
282 2652 0 0
283 2657 0 0
284 2769 0 0
285 2726 0 0
286 2657 0 0
287 2636 0 0
288 2758 0 0
289 2660 0 0
290 2691 0 0
291 2613 0 0
292 2616 0 0
293 2630 0 0
294 2619 0 0
295 2569 0 0
296 2593 0 0
297 2527 0 0
298 2429 0 0
299 2531 0 0
300 2420 0 0
301 2458 0 0
302 2434 0 0
303 2424 0 0
304 2376 0 0
305 2433 0 0
306 2367 0 0
307 2380 0 0
308 2335 0 0
309 2359 0 0
310 2347 0 0
311 2398 0 0
312 2293 0 0
313 2241 0 0
314 2223 0 0
315 2242 0 0
316 2259 0 0
317 2237 0 0
318 2153 0 0
319 2254 0 0
320 2189 0 0
321 2164 0 0
322 2101 0 0
323 2172 0 0
324 2115 0 0
325 2116 0 0
326 2104 0 0
327 2053 0 0
328 2081 0 0
329 2135 0 0
330 2153 0 0
331 2059 0 0
332 2016 0 0
333 2099 0 0
334 1990 0 0
335 1987 0 0
336 1967 0 0
337 1996 0 0
338 2018 0 0
339 1960 0 0
340 1941 0 0
341 1848 0 0
342 2039 0 0
343 1847 0 0
344 1849 0 0
345 1910 0 0
346 1948 0 0
347 1907 0 0
348 1868 0 0
349 1825 0 0
350 1858 0 0
351 1838 0 0
352 1830 0 0
353 1859 0 0
354 1837 0 0
355 1806 0 0
356 1798 0 0
357 1789 0 0
358 1762 0 0
359 1789 0 0
360 1730 0 0
361 1803 0 0
362 1769 0 0
363 1737 0 0
364 1706 0 0
365 1760 0 0
366 1875 0 0
367 1775 0 0
368 1779 0 0
369 1780 0 0
370 1755 0 0
371 1705 0 0
372 1652 0 0
373 1772 0 0
374 1672 0 0
375 1697 0 0
376 1696 0 0
377 1749 0 0
378 1772 0 0
379 1727 0 0
380 1753 0 0
381 1734 0 0
382 1731 0 0
383 1759 0 0
384 1630 0 0
385 1759 0 0
386 1770 0 0
387 1721 0 0
388 1669 0 0
389 1705 0 0
390 1623 0 0
391 1625 0 0
392 1687 0 0
393 1660 0 0
394 1619 0 0
395 1706 0 0
396 1660 0 0
397 1632 0 0
398 1687 0 0
399 1642 0 0
400 1593 0 0
401 1619 0 0
402 1588 0 0
403 1594 0 0
404 1546 0 0
405 1635 0 0
406 1557 0 0
407 1584 0 0
408 1564 0 0
409 1569 0 0
410 1513 0 0
411 1572 0 0
412 1528 0 0
413 1506 0 0
414 1521 0 0
415 1541 0 0
416 1496 0 0
417 1568 0 0
418 1590 0 0
419 1571 0 0
420 1525 0 0
421 1585 0 0
422 1587 0 0
423 1546 0 0
424 1555 0 0
425 1484 0 0
426 1497 0 0
427 1520 0 0
428 1520 0 0
429 1489 0 0
430 1440 0 0
431 1487 0 0
432 1427 0 0
433 1616 0 0
434 1494 0 0
435 1450 0 0
436 1495 0 0
437 1451 0 0
438 1415 0 0
439 1450 0 0
440 1409 0 0
441 1425 0 0
442 1466 0 0
443 1496 0 0
444 1468 0 0
445 1476 0 0
446 1528 0 0
447 1502 0 0
448 1465 0 0
449 1476 0 0
450 1391 0 0
451 1523 0 0
452 1354 0 0
453 1445 0 0
454 1457 0 0
455 1498 0 0
456 1464 0 0
457 1444 0 0
458 1391 0 0
459 1512 0 0
460 1497 0 0
461 1414 0 0
462 1453 0 0
463 1473 0 0
464 1338 0 0
465 1473 0 0
466 1422 0 0
467 1417 0 0
468 1387 0 0
469 1392 0 0
470 1387 0 0
471 1455 0 0
472 1336 0 0
473 1476 0 0
474 1430 0 0
475 1444 0 0
476 1408 0 0
477 1411 0 0
478 1407 0 0
479 1331 0 0
480 1450 0 0
481 1397 0 0
482 1409 0 0
483 1366 0 0
484 1395 0 0
485 1389 0 0
486 1431 0 0
487 1405 0 0
488 1448 0 0
489 1473 0 0
490 1382 0 0
491 1434 0 0
492 1343 0 0
493 1379 0 0
494 1381 0 0
495 1415 0 0
496 1404 0 0
497 1346 0 0
498 1303 0 0
499 1424 0 0
500 1398 0 0
501 1337 0 0
502 1322 0 0
503 1367 0 0
504 1354 0 0
505 1386 0 0
506 1359 0 0
507 1362 0 0
508 1364 0 0
509 1363 0 0
510 1342 0 0
511 1317 0 0
512 1343 0 0
513 1344 0 0
514 1392 0 0
515 1341 0 0
516 1324 0 0
517 1357 0 0
518 1398 0 0
519 1268 0 0
520 1379 0 0
521 1367 0 0
522 1346 0 0
523 1309 0 0
524 1313 0 0
525 1333 0 0
526 1356 0 0
527 1359 0 0
528 1335 0 0
529 1299 0 0
530 1313 0 0
531 1371 0 0
532 1341 0 0
533 1352 0 0
534 1351 0 0
535 1333 0 0
536 1253 0 0
537 1297 0 0
538 1281 0 0
539 1342 0 0
540 1331 0 0
541 1268 0 0
542 1360 0 0
543 1281 0 0
544 1334 0 0
545 1323 0 0
546 1390 0 0
547 1331 0 0
548 1276 0 0
549 1346 0 0
550 1373 0 0
551 1302 0 0
552 1297 0 0
553 1373 0 0
554 1376 0 0
555 1293 0 0
556 1289 0 0
557 1259 0 0
558 1294 0 0
559 1247 0 0
560 1332 0 0
561 1281 0 0
562 1355 0 0
563 1325 0 0
564 1282 0 0
565 1265 0 0
566 1317 0 0
567 1362 0 0
568 1257 0 0
569 1253 0 0
570 1344 0 0
571 1287 0 0
572 1329 0 0
573 1255 0 0
574 1281 0 0
575 1294 0 0
576 1341 0 0
577 1298 0 0
578 1239 0 0
579 1308 0 0
580 1274 0 0
581 1355 0 0
582 1274 0 0
583 1239 0 0
584 1337 0 0
585 1212 0 0
586 1274 0 0
587 1285 0 0
588 1213 0 0
589 1360 0 0
590 1278 0 0
591 1290 0 0
592 1317 0 0
593 1271 0 0
594 1255 0 0
595 1264 0 0
596 1252 0 0
597 1279 0 0
598 1274 0 0
599 1267 0 0
600 1166 0 0
601 1330 0 0
602 1195 0 0
603 1253 0 0
604 1265 0 0
605 1274 0 0
606 1252 0 0
607 1278 0 0
608 1336 0 0
609 1210 0 0
610 1271 0 0
611 1298 0 0
612 1237 0 0
613 1297 0 0
614 1185 0 0
615 1332 0 0
616 1241 0 0
617 1231 0 0
618 1291 0 0
619 1260 0 0
620 1275 0 0
621 1353 0 0
622 1242 0 0
623 1286 0 0
624 1239 0 0
625 1216 0 0
626 1259 0 0
627 1227 0 0
628 1325 0 0
629 1240 0 0
630 1253 0 0
631 1286 0 0
632 1308 0 0
633 1290 0 0
634 1312 0 0
635 1331 0 0
636 1266 0 0
637 1283 0 0
638 1217 0 0
639 1297 0 0
640 1238 0 0
641 1246 0 0
642 1274 0 0
643 1293 0 0
644 1305 0 0
645 1276 0 0
646 1283 0 0
647 1342 0 0
648 1316 0 0
649 1246 0 0
650 1285 0 0
651 1215 0 0
652 1293 0 0
653 1240 0 0
654 1292 0 0
655 1281 0 0
656 1309 0 0
657 1300 0 0
658 1254 0 0
659 1245 0 0
660 1278 0 0
661 1213 0 0
662 1274 0 0
663 1304 0 0
664 1228 0 0
665 1253 0 0
666 1276 0 0
667 1277 0 0
668 1257 0 0
669 1219 0 0
670 1207 0 0
671 1235 0 0
672 1241 0 0
673 1267 0 0
674 1261 0 0
675 1219 0 0
676 1219 0 0
677 1172 0 0
678 1223 0 0
679 1332 0 0
680 1237 0 0
681 1284 0 0
682 1193 0 0
683 1247 0 0
684 1289 0 0
685 1292 0 0
686 1217 0 0
687 1248 0 0
688 1190 0 0
689 1242 0 0
690 1204 0 0
691 1228 0 0
692 1268 0 0
693 1286 0 0
694 1235 0 0
695 1300 0 0
696 1258 0 0
697 1223 0 0
698 1267 0 0
699 1193 0 0
700 1200 0 0
701 1263 0 0
702 1260 0 0
703 1255 0 0
704 1268 0 0
705 1191 0 0
706 1249 0 0
707 1246 0 0
708 1264 0 0
709 1255 0 0
710 1282 0 0
711 1242 0 0
712 1294 0 0
713 1208 0 0
714 1212 0 0
715 1229 0 0
716 1243 0 0
717 1302 0 0
718 1190 0 0
719 1249 0 0
720 1247 0 0
721 1242 0 0
722 1297 0 0
723 1273 0 0
724 1226 0 0
725 1255 0 0
726 1251 0 0
727 1259 0 0
728 1294 0 0
729 1262 0 0
730 1178 0 0
731 1238 0 0
732 1262 0 0
733 1251 0 0
734 1230 0 0
735 1199 0 0
736 1204 0 0
737 1237 0 0
738 1211 0 0
739 1302 0 0
740 1233 0 0
741 1235 0 0
742 1339 0 0
743 1244 0 0
744 1227 0 0
745 1312 0 0
746 1245 0 0
747 1253 0 0
748 1197 0 0
749 1254 0 0
750 1324 0 0
751 1266 0 0
752 1175 0 0
753 1249 0 0
754 1287 0 0
755 1211 0 0
756 1269 0 0
757 1281 0 0
758 1256 0 0
759 1216 0 0
760 1242 0 0
761 1224 0 0
762 1245 0 0
763 1281 0 0
764 1227 0 0
765 1211 0 0
766 1202 0 0
767 1239 0 0
768 1284 0 0
769 1256 0 0
770 1202 0 0
771 1198 0 0
772 1248 0 0
773 1215 0 0
774 1350 0 0
775 1204 0 0
776 1266 0 0
777 1250 0 0
778 1221 0 0
779 1212 0 0
780 1240 0 0
781 1288 0 0
782 1199 0 0
783 1248 0 0
784 1240 0 0
785 1221 0 0
786 1238 0 0
787 1238 0 0
788 1304 0 0
789 1257 0 0
790 1282 0 0
791 1225 0 0
792 1267 0 0
793 1221 0 0
794 1300 0 0
795 1230 0 0
796 1298 0 0
797 1219 0 0
798 1281 0 0
799 1263 0 0
800 1209 0 0
801 1216 0 0
802 1277 0 0
803 1282 0 0
804 1276 0 0
805 1225 0 0
806 1311 0 0
807 1338 0 0
808 1203 0 0
809 1282 0 0
810 1265 0 0
811 1165 0 0
812 1251 0 0
813 1204 0 0
814 1235 0 0
815 1272 0 0
816 1195 0 0
817 1264 0 0
818 1280 0 0
819 1224 0 0
820 1284 0 0
821 1285 0 0
822 1215 0 0
823 1281 0 0
824 1245 0 0
825 1276 0 0
826 1260 0 0
827 1187 0 0
828 1223 0 0
829 1267 0 0
830 1236 0 0
831 1245 0 0
832 1225 0 0
833 1256 0 0
834 1172 0 0
835 1266 0 0
836 1200 0 0
837 1210 0 0
838 1207 0 0
839 1221 0 0
840 1248 0 0
