#P I Flux Inorm
0 14462 0 0
1 14841 0 0
2 15321 0 0
3 16163 0 0
4 16558 0 0
5 16735 0 0
6 17394 0 0
7 17772 0 0
8 17980 0 0
9 18524 0 0
10 18469 0 0
11 18729 0 0
12 18822 0 0
13 19291 0 0
14 19127 0 0
15 19647 0 0
16 20573 0 0
17 21200 0 0
18 22120 0 0
19 23439 0 0
20 24450 0 0
21 25038 0 0
22 25961 0 0
23 26810 0 0
24 27707 0 0
25 29283 0 0
26 29981 0 0
27 31722 0 0
28 33892 0 0
29 37446 0 0
30 40779 0 0
31 46659 0 0
32 53969 0 0
33 59682 0 0
34 67762 0 0
35 71008 0 0
36 82386 0 0
37 84361 0 0
38 89233 0 0
39 84909 0 0
40 93416 0 0
41 92694 0 0
42 99687 0 0
43 100560 0 0
44 102518 0 0
45 103766 0 0
46 102470 0 0
47 101701 0 0
48 116192 0 0
49 140689 0 0
50 157776 0 0
51 159792 0 0
52 172633 0 0
53 197348 0 0
54 224781 0 0
55 267921 0 0
56 305358 0 0
57 352111 0 0
58 385619 0 0
59 426165 0 0
60 486194 0 0
61 597375 0 0
62 691091 0 0
63 763316 0 0
64 825018 0 0
65 1.00322e+06 0 0
66 1.05352e+06 0 0
67 1.05224e+06 0 0
68 1.07775e+06 0 0
69 1.17949e+06 0 0
70 1.23682e+06 0 0
71 1.34876e+06 0 0
72 1.40166e+06 0 0
73 1.44629e+06 0 0
74 1.44428e+06 0 0
75 1.45142e+06 0 0
76 1.34087e+06 0 0
77 1.13501e+06 0 0
78 1.07511e+06 0 0
79 1.01955e+06 0 0
80 1.055e+06 0 0
81 917467 0 0
82 763885 0 0
83 756963 0 0
84 793842 0 0
85 762230 0 0
86 660496 0 0
87 492272 0 0
88 418797 0 0
89 404794 0 0
90 341839 0 0
91 246188 0 0
92 198062 0 0
93 165613 0 0
94 147081 0 0
95 136470 0 0
96 126385 0 0
97 117845 0 0
98 108900 0 0
99 105615 0 0
100 97703 0 0
101 94396 0 0
102 85761 0 0
103 83923 0 0
104 77620 0 0
105 76459 0 0
106 73150 0 0
107 73078 0 0
108 69985 0 0
109 68295 0 0
110 67633 0 0
111 65746 0 0
112 64799 0 0
113 60974 0 0
114 59592 0 0
115 54087 0 0
116 52698 0 0
117 48223 0 0
118 47184 0 0
119 43513 0 0
120 43353 0 0
121 40858 0 0
122 40644 0 0
123 38642 0 0
124 37534 0 0
125 35559 0 0
126 34760 0 0
127 33427 0 0
128 32517 0 0
129 32333 0 0
130 30829 0 0
131 30922 0 0
132 28876 0 0
133 29475 0 0
134 27717 0 0
135 28259 0 0
136 26556 0 0
137 26612 0 0
138 25129 0 0
139 25557 0 0
140 24486 0 0
141 24128 0 0
142 23006 0 0
143 22567 0 0
144 22076 0 0
145 20798 0 0
146 20773 0 0
147 19609 0 0
148 19717 0 0
149 18548 0 0
150 18774 0 0
151 17733 0 0
152 18214 0 0
153 16904 0 0
154 17311 0 0
155 16403 0 0
156 16752 0 0
157 15786 0 0
158 15923 0 0
159 15495 0 0
160 15066 0 0
161 15178 0 0
162 14747 0 0
163 14913 0 0
164 14195 0 0
165 14426 0 0
166 13734 0 0
167 14240 0 0
168 13189 0 0
169 13493 0 0
170 12922 0 0
171 13103 0 0
172 12534 0 0
173 12589 0 0
174 12341 0 0
175 11932 0 0
176 12211 0 0
177 11625 0 0
178 11701 0 0
179 11399 0 0
180 11378 0 0
181 10823 0 0
182 11154 0 0
183 10567 0 0
184 11008 0 0
185 10497 0 0
186 10711 0 0
187 10141 0 0
188 10117 0 0
189 9837 0 0
190 9952 0 0
191 9664 0 0
192 9624 0 0
193 9898 0 0
194 9271 0 0
195 9485 0 0
196 9131 0 0
197 9513 0 0
198 8927 0 0
199 9225 0 0
200 8794 0 0
201 9134 0 0
202 8619 0 0
203 8695 0 0
204 8560 0 0
205 8298 0 0
206 8300 0 0
207 8084 0 0
208 8123 0 0
209 8030 0 0
210 7887 0 0
211 7860 0 0
212 7805 0 0
213 7650 0 0
214 7820 0 0
215 7324 0 0
216 7340 0 0
217 7412 0 0
218 7186 0 0
219 7095 0 0
220 7183 0 0
221 7002 0 0
222 6776 0 0
223 6668 0 0
224 6602 0 0
225 6597 0 0
226 6492 0 0
227 6518 0 0
228 6312 0 0
229 6402 0 0
230 6180 0 0
231 6121 0 0
232 5901 0 0
233 6084 0 0
234 6007 0 0
235 6095 0 0
236 5776 0 0
237 5709 0 0
238 5748 0 0
239 5786 0 0
240 5604 0 0
241 5684 0 0
242 5528 0 0
243 5416 0 0
244 5519 0 0
245 5321 0 0
246 5357 0 0
247 5373 0 0
248 5344 0 0
249 5250 0 0
250 5203 0 0
251 5047 0 0
252 5148 0 0
253 5034 0 0
254 4967 0 0
255 4957 0 0
256 4919 0 0
257 4817 0 0
258 4938 0 0
259 4832 0 0
260 4788 0 0
261 4890 0 0
262 4724 0 0
263 4841 0 0
264 4551 0 0
265 4669 0 0
266 4574 0 0
267 4627 0 0
268 4448 0 0
269 4537 0 0
270 4283 0 0
271 4508 0 0
272 4296 0 0
273 4439 0 0
274 4405 0 0
275 4186 0 0
276 4193 0 0
277 4372 0 0
278 4280 0 0
279 4170 0 0
280 4276 0 0
281 4015 0 0
282 4134 0 0
283 3991 0 0
284 4155 0 0
285 3951 0 0
