#P I Flux Inorm
0 14597 0 0
1 14892 0 0
2 15467 0 0
3 15503 0 0
4 16112 0 0
5 16195 0 0
6 16527 0 0
7 17142 0 0
8 17433 0 0
9 18176 0 0
10 18635 0 0
11 19035 0 0
12 19203 0 0
13 20422 0 0
14 20499 0 0
15 21897 0 0
16 22201 0 0
17 23497 0 0
18 23934 0 0
19 25689 0 0
20 26327 0 0
21 26935 0 0
22 27915 0 0
23 28909 0 0
24 29271 0 0
25 29779 0 0
26 31100 0 0
27 32434 0 0
28 34186 0 0
29 35294 0 0
30 37672 0 0
31 40095 0 0
32 44292 0 0
33 50559 0 0
34 54855 0 0
35 60507 0 0
36 61980 0 0
37 66491 0 0
38 73858 0 0
39 82241 0 0
40 96569 0 0
41 102738 0 0
42 110354 0 0
43 112820 0 0
44 120599 0 0
45 119657 0 0
46 124357 0 0
47 121994 0 0
48 135203 0 0
49 153132 0 0
50 165267 0 0
51 167695 0 0
52 183048 0 0
53 205659 0 0
54 249969 0 0
55 287230 0 0
56 324486 0 0
57 343231 0 0
58 384738 0 0
59 443047 0 0
60 491014 0 0
61 617316 0 0
62 690202 0 0
63 779531 0 0
64 879175 0 0
65 1.04083e+06 0 0
66 1.10732e+06 0 0
67 1.09713e+06 0 0
68 1.14296e+06 0 0
69 1.29438e+06 0 0
70 1.42893e+06 0 0
71 1.45139e+06 0 0
72 1.47292e+06 0 0
73 1.34802e+06 0 0
74 1.22452e+06 0 0
75 1.18863e+06 0 0
76 1.06981e+06 0 0
77 995286 0 0
78 992306 0 0
79 1.03075e+06 0 0
80 1.03627e+06 0 0
81 978437 0 0
82 862361 0 0
83 847857 0 0
84 836578 0 0
85 654064 0 0
86 495880 0 0
87 462390 0 0
88 466248 0 0
89 388526 0 0
90 290412 0 0
91 232341 0 0
92 196174 0 0
93 174456 0 0
94 154015 0 0
95 140679 0 0
96 127331 0 0
97 115877 0 0
98 107016 0 0
99 97588 0 0
100 92019 0 0
101 84643 0 0
102 80828 0 0
103 75836 0 0
104 74574 0 0
105 71271 0 0
106 70440 0 0
107 67937 0 0
108 68852 0 0
109 65744 0 0
110 67043 0 0
111 64212 0 0
112 64090 0 0
113 61160 0 0
114 59161 0 0
115 56062 0 0
116 53885 0 0
117 51201 0 0
118 48108 0 0
119 47720 0 0
120 44041 0 0
121 44558 0 0
122 41560 0 0
123 42642 0 0
124 38995 0 0
125 39033 0 0
126 36367 0 0
127 36615 0 0
128 34614 0 0
129 34164 0 0
130 32740 0 0
131 31995 0 0
132 31108 0 0
133 29864 0 0
134 29444 0 0
135 28274 0 0
136 27957 0 0
137 26517 0 0
138 26579 0 0
139 24934 0 0
140 25878 0 0
141 23836 0 0
142 24483 0 0
143 22806 0 0
144 22912 0 0
145 21864 0 0
146 21488 0 0
147 20710 0 0
148 20584 0 0
149 20152 0 0
150 19781 0 0
151 19945 0 0
152 19349 0 0
153 19588 0 0
154 18581 0 0
155 19039 0 0
156 18024 0 0
157 18511 0 0
158 17641 0 0
159 18207 0 0
160 17583 0 0
161 18213 0 0
162 17440 0 0
163 17730 0 0
164 17857 0 0
165 17105 0 0
166 17272 0 0
167 16893 0 0
168 17054 0 0
169 16695 0 0
170 16568 0 0
171 15988 0 0
172 16119 0 0
173 15431 0 0
174 15618 0 0
175 14955 0 0
176 15083 0 0
177 14619 0 0
178 14571 0 0
179 14249 0 0
180 14354 0 0
181 13878 0 0
182 13824 0 0
183 13678 0 0
184 13593 0 0
185 13519 0 0
186 13269 0 0
187 13207 0 0
188 12637 0 0
189 12960 0 0
190 12739 0 0
191 12815 0 0
192 12470 0 0
193 12449 0 0
194 12227 0 0
195 11840 0 0
196 11908 0 0
197 11809 0 0
198 11458 0 0
199 11766 0 0
200 11539 0 0
201 11364 0 0
202 11063 0 0
203 11097 0 0
204 10874 0 0
205 10629 0 0
206 10521 0 0
207 10311 0 0
208 10148 0 0
209 9617 0 0
210 9689 0 0
211 9618 0 0
212 9203 0 0
213 9307 0 0
214 9233 0 0
215 8666 0 0
216 8777 0 0
217 8562 0 0
218 8442 0 0
219 8147 0 0
220 8368 0 0
221 8095 0 0
222 7820 0 0
223 7661 0 0
224 7501 0 0
225 7386 0 0
226 7192 0 0
227 7148 0 0
228 7127 0 0
229 6755 0 0
230 6693 0 0
231 6704 0 0
232 6417 0 0
233 6469 0 0
234 6431 0 0
235 6366 0 0
236 6048 0 0
237 6093 0 0
238 6010 0 0
239 6011 0 0
240 5837 0 0
241 5904 0 0
242 5790 0 0
243 5714 0 0
244 5739 0 0
245 5554 0 0
246 5494 0 0
247 5507 0 0
248 5496 0 0
249 5345 0 0
250 5387 0 0
251 5300 0 0
252 5280 0 0
253 5087 0 0
254 5142 0 0
255 5070 0 0
256 5092 0 0
257 4993 0 0
258 5103 0 0
259 4979 0 0
260 4790 0 0
261 4782 0 0
262 4651 0 0
263 4644 0 0
264 4563 0 0
