#23_cooling_EuGa4_Mar07_23.dat.txt
#Tue, Mar 7, 2023, 11:48 AM
#WL (nm), Int (cts)
674.996352,76.829697
675.091533,76.938788
675.186688,77.229697
675.281816,77.193333
675.376916,77.029697
675.471990,77.066061
675.567037,76.920606
675.662057,76.666061
675.757051,76.120606
675.852017,75.920606
675.946956,76.156970
676.041869,76.029697
676.136754,75.520606
676.231613,75.029697
676.326444,75.066061
676.421249,75.411515
676.516027,75.084242
676.610778,75.229697
676.705502,75.520606
676.800199,75.738788
676.894869,75.975152
676.989513,75.775152
677.084129,76.120606
677.178718,76.484242
677.273281,76.211515
677.367816,76.375152
677.462325,76.211515
677.556807,76.920606
677.651261,77.138788
677.745689,77.084242
677.840090,77.684242
677.934464,77.102424
678.028811,76.829697
678.123131,76.538788
678.217424,76.356970
678.311690,76.484242
678.405930,76.738788
678.500142,76.811515
678.594327,76.466061
678.688486,76.702424
678.782617,76.975152
678.876722,76.284242
678.970799,76.556970
679.064850,76.756970
679.158873,77.120606
679.252870,77.520606
679.346840,77.775152
679.440783,77.284242
679.534698,78.447879
679.628587,78.866061
679.722449,79.120606
679.816284,78.938788
679.910092,79.684242
680.003873,80.429697
680.097627,81.102424
680.191354,81.284242
680.285054,81.320606
680.378727,82.266061
680.472373,82.447879
680.565993,81.484242
680.659585,82.193333
680.753150,82.084242
680.846688,81.938788
680.940199,81.629697
681.033684,81.084242
681.127141,80.775152
681.220571,80.029697
681.313975,79.484242
681.407351,78.666061
681.500700,78.538788
681.594023,82.720606
681.687318,81.793333
681.780587,81.011515
681.873828,80.866061
681.967042,80.593333
682.060230,80.466061
682.153390,80.066061
682.246524,80.011515
682.339630,79.666061
682.432710,79.375152
682.525762,79.120606
682.618788,74.702424
682.711786,74.993333
682.804757,75.302424
682.897702,75.084242
682.990619,75.175152
683.083510,75.029697
683.176373,75.284242
683.269210,75.393333
683.362019,75.738788
683.454801,75.884242
683.547557,75.629697
683.640285,75.484242
683.732986,75.302424
683.825661,75.756970
683.918308,76.193333
684.010928,76.247879
684.103522,76.466061
684.196088,76.302424
684.288627,76.684242
684.381139,77.211515
684.473624,77.520606
684.566082,78.193333
684.658514,78.120606
684.750918,78.266061
684.843295,78.447879
684.935645,78.611515
685.027968,78.575152
685.120264,78.775152
685.212533,79.356970
685.304774,79.738788
685.396989,79.647879
685.489177,80.211515
685.581338,80.666061
685.673471,81.393333
685.765578,81.811515
685.857658,82.429697
685.949710,83.229697
686.041736,84.375152
686.133734,86.047879
686.225706,87.775152
686.317650,90.120606
686.409567,92.975152
686.501458,95.538788
686.593321,98.538788
686.685157,102.011515
686.776966,106.066061
686.868748,109.811515
686.960503,113.793333
687.052231,117.320606
687.143932,120.611515
687.235606,123.011515
687.327252,125.593333
687.418872,127.011515
687.510465,128.047879
687.602030,127.920606
687.693569,127.120606
687.785080,125.811515
687.876564,123.611515
687.968021,120.902424
688.059452,117.938788
688.150855,114.375152
688.242231,111.829697
688.333580,107.738788
688.424901,103.829697
688.516196,100.320606
688.607464,97.302424
688.698704,94.502424
688.789918,90.829697
688.881104,88.284242
688.972264,85.884242
689.063396,83.502424
689.154501,81.702424
689.245579,79.138788
689.336630,77.666061
689.427654,76.502424
689.518651,75.066061
689.609620,74.102424
689.700563,73.738788
689.791478,73.047879
689.882367,72.538788
689.973228,73.084242
690.064062,74.429697
690.154869,74.647879
690.245649,75.466061
690.336402,76.338788
690.427128,77.920606
690.517826,78.993333
690.608498,78.811515
690.699142,77.756970
690.789759,77.956970
690.880350,78.284242
690.970913,76.884242
691.061449,75.120606
691.151957,74.266061
691.242439,72.993333
691.332894,71.629697
691.423321,69.938788
691.513721,68.411515
691.604095,68.520606
691.694441,68.956970
691.784760,69.338788
691.875051,69.411515
691.965316,69.956970
692.055554,70.629697
692.145764,71.393333
692.235947,72.411515
692.326104,73.011515
692.416233,74.447879
692.506334,76.738788
692.596409,79.393333
692.686457,82.466061
692.776477,86.666061
692.866471,91.502424
692.956437,97.411515
693.046376,104.738788
693.136288,112.193333
693.226172,119.066061
693.316030,126.047879
693.405860,132.138788
693.495664,136.775152
693.585440,139.975152
693.675189,142.538788
693.764911,143.720606
693.854605,144.884242
693.944273,146.993333
694.033913,151.720606
694.123526,161.411515
694.213112,179.975152
694.302671,209.120606
694.392203,244.247879
694.481707,281.775152
694.571185,314.193333
694.660635,339.884242
694.750058,357.666061
694.839454,369.520606
694.928822,375.266061
695.018164,375.375152
695.107478,369.538788
695.196765,355.538788
695.286025,332.102424
695.375258,305.084242
695.464464,282.320606
695.553642,275.320606
695.642793,289.120606
695.731918,327.047879
695.821014,383.175152
695.910084,448.102424
695.999127,509.066061
696.088142,557.066061
696.177130,589.629697
696.266091,608.302424
696.355025,615.266061
696.443931,610.575152
696.532811,591.447879
696.621663,556.138788
696.710488,502.211515
696.799286,433.956970
696.888056,360.029697
696.976799,290.811515
697.065516,234.538788
697.154205,193.575152
697.242866,164.629697
697.331501,144.684242
697.420108,130.611515
697.508688,120.702424
697.597241,112.484242
697.685767,106.993333
697.774265,101.847879
697.862737,98.411515
697.951181,95.429697
698.039598,93.102424
698.127987,90.866061
698.216350,88.793333
698.304685,87.284242
698.392993,84.993333
698.481274,83.411515
698.569527,82.175152
698.657753,81.429697
698.745953,80.793333
698.834124,79.502424
698.922269,78.502424
699.010386,77.066061
699.098477,76.120606
699.186539,75.102424
699.274575,74.338788
699.362584,74.884242
699.450565,74.920606
699.538519,74.993333
699.626445,74.520606
699.714345,74.684242
699.802217,74.702424
699.890062,74.902424
699.977880,75.302424
700.065671,75.375152
700.153434,75.575152
700.241170,75.138788
700.328879,74.593333
700.416560,73.756970
700.504214,73.320606
700.591841,72.484242
700.679441,71.847879
700.767014,71.484242
700.854559,70.975152
700.942077,70.447879
701.029568,69.956970
701.117031,69.793333
701.204467,70.175152
701.291876,70.429697
701.379258,70.775152
701.466612,71.156970
701.553939,72.211515
701.641239,73.266061
701.728512,74.356970
701.815757,75.484242
701.902975,76.447879
701.990166,77.047879
702.077330,78.029697
702.164466,78.629697
702.251575,78.993333
702.338657,79.084242
702.425711,79.011515
702.512738,78.611515
702.599738,77.884242
702.686710,77.811515
702.773656,77.629697
702.860574,77.811515
702.947464,78.120606
703.034328,78.138788
703.121164,78.593333
703.207973,79.156970
703.294754,80.938788
703.381509,82.847879
703.468235,85.447879
703.554935,88.629697
703.641607,91.666061
703.728253,95.211515
703.814870,98.284242
703.901461,101.211515
703.988024,103.393333
704.074560,104.793333
704.161068,106.175152
704.247549,105.920606
704.334003,106.120606
704.420430,105.556970
704.506829,104.047879
704.593201,102.593333
704.679546,101.538788
704.765863,100.793333
704.852153,100.211515
704.938416,100.720606
705.024652,102.338788
705.110860,104.575152
705.197040,107.720606
705.283194,110.866061
705.369320,115.102424
705.455419,119.666061
705.541490,125.229697
705.627534,130.447879
705.713551,136.647879
705.799541,143.229697
705.885503,150.920606
705.971438,158.847879
706.057345,167.247879
706.143225,176.047879
706.229078,185.447879
706.314904,194.502424
706.400702,204.520606
706.486473,213.266061
706.572216,221.647879
706.657932,229.175152
706.743621,236.211515
706.829282,241.047879
706.914917,243.684242
707.000523,244.811515
707.086103,244.502424
707.171655,241.484242
707.257179,236.356970
707.342677,229.666061
707.428147,223.156970
707.513589,215.266061
707.599005,206.702424
707.684393,197.793333
707.769753,189.629697
707.855086,183.011515
707.940392,177.902424
708.025671,175.011515
708.110922,176.047879
708.196146,180.502424
708.281342,189.629697
708.366511,201.611515
708.451653,216.556970
708.536767,233.011515
708.621854,250.884242
708.706913,268.266061
708.791946,284.647879
708.876950,296.393333
708.961928,303.120606
709.046878,304.266061
709.131800,300.229697
709.216696,289.647879
709.301564,274.047879
709.386404,255.684242
709.471217,234.920606
709.556003,212.611515
709.640761,191.120606
709.725492,170.047879
709.810196,151.229697
709.894872,136.502424
709.979521,124.993333
710.064142,116.720606
710.148736,111.138788
710.233303,106.702424
710.317842,103.593333
710.402354,102.847879
710.486838,101.884242
710.571295,101.138788
710.655725,100.884242
